dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft											
Ancient Civilization		7SS01.01					4	9	both	Social Studies	Geography	South America				image											
science		7SS01.01					4	9	both	Science	Innovations	Other Innovations				image											
Hindu Ceremony		7SS01.02					5	9	both	Social Studies	Community	Everyday Life	Customs			image											
Team work		7SS01.02	7SS02.01				4	8	both	Social Studies	Community	Everyday Life	Cooperation			image											
Giving Tika 2		7SS01.02					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Girls Playing Soccer		7SS01.02					5	9	both	Social Studies	Community	Sports	Soccer			image											
Active learning - cooperative brainstorming		7SS01.02					3	8	both	Social Studies	Community	Education	Other Education			image											
Friends 2		7SS01.02					2	8	both	Social Studies	Community	People				image											
Bishnu's Marriage		7SS01.02	7SS02.02				4	8	both	Social Studies	Community	Everyday Life	Customs			image											
Chhath Puja		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Old Nepal 00235		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Recreation			image											
Students and Mountains		7SS01.02					4	7	both	Social Studies	Community	Everyday Life	Other Everyday Life			image											
Jatra Managed by Guthi		7SS01.02					5	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Guthi House		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Family			image											
Aama Samuha		7SS01.02					4	10	np	Social Studies	Community	Social Organization	Non-Profits			video											
Dullav students		7SS01.02					4	8	both	Social Studies	Community	Social Organization	Schools			image											
Scout Activities		7SS01.02	7SS07.09	7SS02.09			5	8	both	Social Studies	Community	Social Organization	Non-Profits			image											
Haat Bazaar		7SS01.02	7SS06.01				3	7	both	Social Studies	Economy	Business	Market			image											
Gaijatra		7SS01.02	7SS02.07				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ashmita's Story Girls Education		7SS01.03					5	9	both	Social Studies	Community	Education	Girls			video											
Hospital		7SS01.03					4	8	both	Social Studies	Community	Social Organization	Health Care			image											
School girls		7SS01.03	7SS03.05				4	8	both	Social Studies	Community	Education	Girls			image											
Dullav school children		7SS01.03					5	8	both	Social Studies	Community	Education	Rural			image											
Dolpo school with Binod Shahi		7SS01.03					5	8	both	Social Studies	Community	Education	Rural			image											
bus		7SS01.04					3	10	both	Social Studies	Transportation	Road	Bus			image											
Smart Phone		7SS01.04	7SS09.03				4	10	both	Science	Technology	Electrical	Electronics			image											
Tablets		7SS01.04					5	8	both	Science	Technology	Electrical	Electronics			image											
Human Communication		7SS01.04					3	8	both	Science	Technology	Electrical	Electronics			image											
Compassion		7SS02.01	7SS02.07				4	8	both	Social Studies	Issues	Solutions				image											
Helping differently abled		7SS02.01					4	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Helping differently abled 2		7SS02.01					4	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Helping elders		7SS02.01					4	8	both	Social Studies	Community	Everyday Life	Family			image											
Unity		7SS02.01	7SS02.07				4	8	both	Social Studies	Community	Everyday Life	Other Everyday Life			image											
Care to senior citizens		7SS02.01					3	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Charity 2		7SS02.01					4	7	both	Social Studies	Community	Social Organization	Mutual Help			image											
Friends together		7SS02.01	7SS02.07				3	8	both	Social Studies	Issues	Solutions				image											
Charity		7SS02.01					4	8	both	Social Studies	Community	Social Organization				image											
Bartabandha		7SS02.02	7SS01.02				5	8	np	Social Studies	Community	Everyday Life	Celebrations			video											
Old Nepal 00014		7SS02.02	7SS01.02	7SS05.07			5	8	both	Social Studies	Community	Education	Other Education			image											
Tamang Wedding Blessing		7SS02.02					5	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Wedding Feast		7SS02.02					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Tamang Wedding Feast		7SS02.02					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Haydi at Bishnu's Wedding		7SS02.02					5	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
JanaiPurnima		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
RishiPanchami		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Maghe Sankranti		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Buddhist Spinning Prayer Wheel		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
Eid in Singapore		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
BaqriId		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
NativityTree		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Christianity			image											
Kukur puja		7SS02.03					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Eid in Iraq		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in India		7SS02.03					4	8	both	Social Studies	Beliefs	Religions	Islam			image											
BijayaDashami		7SS02.04					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
ChhathParwa		7SS02.04	7SS02.03				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ghatasthapana		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
KrishnaJanmashtami		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Bhaitika		7SS02.04	7SS02.03				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
SaraswatiPuja		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ekadashi		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
FaguPurnima		7SS02.04					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Eid in Turkey		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in America		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in Philippines		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Gumpa		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
Boudhanath 2		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
ChristmasTree		7SS02.04	7SS02.03				3	7	both	Social Studies	Beliefs	Religions	Christianity			image											
Christmas		7SS02.04	7SS02.03				2	12	both	Social Studies	Beliefs	Religions	Christianity			image											
Madal		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Bansuri		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Sarangi instrument		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Cultural Dresses		7SS02.06	7SS02.07				4	10	both	Social Studies	Community	Everyday Life	Clothing			image											
Festive and Fragrant Food		7SS02.06					4	8	both	Social Studies	Community	Everyday Life	Food			image											
Newars dance		7SS02.06					4	8	both	Social Studies	Arts	Dance	Folk Dance			image											
Ubhauli Sakela Fest Observed		7SS02.06	7SS02.04	7SS02.03			4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Tharu Dance		7SS02.06	7SS07.07				4	8	both	Social Studies	Arts	Dance	Folk Dance			image											
Banepa Dancers and Himal		7SS02.06					4	10	both	Social Studies	Arts	Dance	Folk Dance			image											
A Good Meal		7SS02.06	7SS02.07				3	10	both	Science	Medicine	Healthy Living	Nutrition			image											
Nepal Flag		7SS02.07	7SS09.02				1	12	both	Social Studies	Community	Government	National			image											
Nepali National Anthem		7SS02.07					1	12	both	Language	Nepali	Form	Song			video											
cow		7SS02.07					1	8	both	Science	Biology	Zoology	Mammals			image											
Rhododendron		7SS02.07					3	9	both	Science	Biology	Plants	Flower			image											
Mount Everest		7SS02.07					5	9	both	Social Studies	Geography	Asia	Nepal			image											
Cow Tihar Festival		7SS02.07					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
TamuLhosar		7SS02.07	7SS02.06				4	9	both	Social Studies	History	Nepal	Events			image											
Household Buddha Celebration		7SS02.07	7SS05.04				5	8	both	Social Studies	Community	Everyday Life	Customs			image											
Teej		7SS02.07					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Kids Playing Traditional Instrument		7SS02.07	7SS02.09				4	8	both	Social Studies	Community	Everyday Life	Hobbies			image											
Danfe is Nepals National Bird		7SS02.07					2	10	both	Science	Biology	Birds	Other Birds			image											
Diverse people		7SS02.07					4	12	both	Social Studies	Community	Everyday Life	Diversity			image											
Bhanubhakta Acharya Biography		7SS02.08					4	8	np	Language	English	People				video											
Children in sports		7SS02.09					3	7	both	Social Studies	Community	Everyday Life	Games			image											
Active Learning - drama game		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
Active Learning - group brainstorm		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
Active Learning - group games		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
"Active Learning - think, pair, share"		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
"Active Learning - think, pair, share game"		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
active learning 15		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
active learning 19		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
population		7SS03.01	7SS08.01				4	9	both	Social Studies	Economy	Other Economy	Population			image											
democracy		7SS03.02					5	10	both	Social Studies	Issues	Human Rights	Other Human Rights			image											
Election of Nepal		7SS03.02					5	10	both	Social Studies	Issues	Human Rights	Other Human Rights			image											
Voting		7SS03.02					4	8	both	Social Studies	Issues	Human Rights				image											
Human Rights		7SS03.02	7SS03.04	7SS03.05			4	8	both	Social Studies	Issues	Human Rights				image											
Women Have Fewer Rights		7SS03.05					4	10	both	Social Studies	Issues	Human Rights	Girls & Women			video											
Gender equality 2		7SS03.05	7SS04.02				4	8	both	Social Studies	Issues	Other Issues				image											
Being a Female Tabla Player		7SS03.05					5	8	en	Social Studies	Arts	Musical Instruments	Other Musical Instruments			video											
Women’s Tumbling World Championships		7SS03.05					5	9	en	Science	Medicine	Healthy Living	Sports			video											
Gender equality		7SS04.02					4	12	both	Social Studies	Issues	Other Issues				image											
Malla Dynasty Palace		"7SS05.01
"					5	8	both	Social Studies	History	Nepal	Government			image											
Licchavi Palace in Kathmandu		7SS05.01					5	9	both	Social Studies	History	Nepal	Geography			image											
Old Nepal 00071		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00058		7SS05.01	7SS05.03				4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00073		7SS05.01					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Old Nepal 00076		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00078		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00094		7SS05.01					4	10	both	Social Studies	Community	Everyday Life				image											
Patan Newar architecture		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Durbar square at Bhaktapur		7SS05.03					4	8	both	Social Studies	History	Nepal	Geography			image											
Bhaktapur Nepal 2		7SS05.03					4	8	both	Social Studies	Geography	Asia	Nepal			image											
"Nyatapola Temple, Bhaktapur"		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Getting tika from elders		7SS05.03					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Deepawali		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Gurukul		7SS05.03					4	8	both	Social Studies	Community	Education	Other Education			image											
Parma In Nepal		7SS05.03					5	9	both	Social Studies	Economy	Agriculture				image											
Patan statue and turtle		7SS05.03					3	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Licchavi Age Standing Buddha		7SS05.04					4	8	both	Social Studies	History	People				image											
BuddhaJayanti		7SS05.04					3	10	both	Social Studies	Beliefs	Religions	Buddhism			image											
Prithivi Narayan Shah		7SS05.06					4	8	both	Social Studies	History	People				image											
Old Nepal 00018		7SS05.07					4	8	both	Social Studies	Community	Social Organization	Work			image											
