dn,ft,ch_id.1,ch_id.2,ch_id.3,cl_lo,cl_hi,key1,key2,key3,key4
Classroom Song,audio,5H12,,,2,5,Language,English,Form,Song
5M Algebraic Expressions,EP,5M15,,,,,Mathematics,Algebra,Expression,
5M Algebraic Equation,EP,5M16,,,,,,,,
5M Application of Equations,EP,5M16,,,,,,,,
4M Algebra: Terms and Expressions,EP,5M15,,,,,,,,
4M Bill and budget,EP,5M13,,,4,5,,,,
5M Bill and budget,EP,5M13,,,4,5,,,,
2M Bar Graph,EP,5M14,,,,,,,,
4M Solid shapes,EP,5M02,4M03,,,,,,,
5M Fraction,EP,5M05,,,,,,,,
4M Algebra: Like and Unlike terms,EP,5M15,,,4,7,Mathematics,Algebra,Variable,
5M Measurement of angles,EP,5M01,,,,,,,,
5M Percentage,EP,5M07,,,4,6,,,,
4M Rounding off numbers,EP,5M03,,,,,,,,
5S Balanced diet,EP,5H03,,,,,,,,
3S Biogas and compost,EP,5H02,5S03,4H02,,,,,,
3S Clean body,EP,4H01,5H01,,,,,,,
3S Clean Environment,EP,4H02,,,,,,,,
5S Menstruation,EP,4H01,5H01,,4,7,,,,
5S Conservation of the Environment,EP,5H02,5S03,,,,,,,
6S Electrical Circuit,EP,5S07,6S08.02,,5,8,,,,
7S Earth and Universe ,EP,5S08,7S11,,7,9,,,,
6S Light,EP,5S07,,,5,8,,,,
3S Nutritious food,EP,4H03,,,,,,,,
4S Nutritious food,EP,4H03,5H03,,,,,,,
5S Personal hygiene,EP,4H01,,,4,6,,,,
7S Sound,EP,5S07,6S07.04,,5,9,,,,
4S Solar System ,EP,5S08,,,4,10,,,,
4S Cleanliness,EP,4H01,5H01,,,,,,,
3M Place value,EP,5M03,4M04,3M02.01,3,5,,,,
5M Area,EP,5M12,,,,,,,,
Parallelogram 1,game ,5M01,,,5,10,Mathematics,Geometry,Shapes,Parallelogram
4M04.04 Unit Price,game ,5M13,,,4,8,Mathematics,Measurement,Units,
Order of Operation,game ,5M04,,,5,10,Mathematics,Arithmetic,Order of Operations,
Area Builder,html,5M12,,,,,Mathematics,Measurement,Area,
Build a Fraction,html,5M05,,,2,6,,,,
Fractions Intro,html,5M05,,,2,6,,,,
Fractions Mixed,html,5M05,,,2,6,,,,
Actor,html,5H13,,,5,10,,,,
Newars Dance in Patan 2,image,5H13,,,4,8,,,,
acting,image,4H13,5H13,,,,,,,
Air Pollution,image,5H02,,,4,10,Science,Earth,Human Impact,Pollution
Pollution in Kathmandu's Bagmati River,image,5H02,,,4,10,,,,
bakery,image,4H03,,,3,8,Social Studies,Community,Everyday Life,Food
Balanced Meal,image,5H03,,,4,8,,,,
Bansuri,image,4H12,5H12,,4,10,,,,
Burning Match,image,5S07,,,1,10,,,,
Calculation,image,5M13,,,,,,,,
Collage,image,5H11,,,2,7,,,,
Color Wheel,image,4H10,5H10,,3,9,,,,
Festive and Fragrant Food,image,4H03,,,4,8,Social Studies,Community,Everyday Life,Food
dancer,image,4H13,,,,,,,,
Dancing With Dragons in Nepal,image,5H13,,,4,8,Social Studies,Arts,Dance,Folk Dance
Banepa Dancers and Himal,image,4H13,5H13,,,,,,,
Earth,image,5S08,,,4,10,,,,
Effects Of Sleep Deprivation,image,5H01,,,5,8,,,,
First Aid Kit,image,4H05,5H05,,,,Science,Medicine,Specialties,First Aid
Food Security,image,4H03,,,3,8,Social Studies,Community,Everyday Life,Food
football,image,4H08,,,4,6,Social Studies,Community,Sports,Football
Fossil Fuel Pollution,image,5H02,5S03,,,,,,,
