_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
6S01.00	7	0	section	Scientific Learning	वैज्ञानिक सिकाइ	Science			
6S01.01	7	5	chapter	Introduction to scientific learning	वैज्ञानिक सिकाइको परिचय	Science	Other Science		
6S01.02	12	2	chapter	Measurement & unit	नाप र एकाइ	Math	Measurement	Units	
6S01.03	14	3	chapter	Local & standard units of measurement	नापका स्थानीय र प्रमाणिक एकाइहरू	Math	Measurement	Units	
6S01.04	17	10	chapter	Multiple & submultiple units	ठुला तथा साना एकाइहरू	Math	Measurement	Units	
6S02.00	27	0	section	Information & Communication Technology	सूचना तथा सञ्चार प्रविधि	Science	IT	Hardware	
6S02.01	27	9	chapter	Technology	प्रविधि	Science	Technology		
6S02.02	36	25	chapter	Use of mobile phone & computer in our daily life	दैनिक जीवनमा मोबाइलफोन र कम्प्युटरको प्रयोग	Science	IT	Hardware	
6S03.00	61	0	section	Organisms & their Structure	जीवहरू र तिनीहरूको बनोट	Science	Biology	Other Biology	Scientific Classification
6S03.01	61	6	chapter	Adaptation of organisms	जीवहरूको अनुकूलता	Science	Biology	Other Biology	Natural Selection
6S03.02	67	10	chapter	Classification of animals on the basis of food	खानाका आधारमा जनावरको वर्गीकरण	Science	Biology	Other Biology	Scientific Classification
6S03.03	77	3	chapter	Vertebrates	ढाड भएका जनावरहरू	Science	Biology	Zoology	Vertebrates
6S03.04	80	12	chapter	Flowering and non-flowering plants	फूल फुल्ने र फूल नफुल्ने बिरुवाहरू	Science	Biology	Plants	
6S04.00	92	0	section	Biodiversity & Environment	जैविक विविधता र वातावरण	Science	Biology	Ecology	Biodiversity
6S04.01	92	4	chapter	Environment	वातावरण	Science	Earth	Other Earth	Environment
6S04.02	96	4	chapter	Environment friendly behavior	वातावरणमैत्री व्यवहार	Science	Earth	Human Impact	
6S04.03	100	3	chapter	Ecosystem	पारिस्थितिक प्रणाली	Science	Biology	Other Biology	Ecosystem
6S04.04	103	5	chapter	Interrelationship among plants, animals & microorganisms	बिरुवा, जनावर र सूक्ष्मजीवबिचको अन्तरसम्बन्ध	Science	Biology	Other Biology	Ecosystem
6S05.00	108	0	section	Life Process	जीवन प्रक्रिया	Science	Biology	Other Biology	Life Processes
6S05.01	108	4	chapter	Modes of nutrition	पोषण प्रक्रिया	Science	Medicine	Healthy Living	Nutrition
6S05.02	112	7	chapter	Photosynthesis	प्रकाश संश्लेषण प्रक्रिया	Science	Biology	Plants	Photosynthesis
6S06.00	119	0	section	Force & Motion	बल र चाल	Science	Physics	Forces	
6S06.01	119	2	chapter	Motion and its types	चाल र यसका प्रकार	Science	Physics	Forces	
6S06.02	121	6	chapter	Force	बल	Science	Physics	Forces	
6S06.03	127	5	chapter	Simple Machine	सरल यन्त्र	Science	Technology	Mechanical	Machines
