_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
8SS01.00	10	1	chapter	We, Our Community & the Nation	हामी, हाम्रो समुदाय र राष्‍ट्र	Social Studies	Community	People	
8SS01.01	11	2	chapter	Development	विकास	Social Studies	Community	People	
8SS01.02	13	2	chapter	Federal states and provinces	सङ्‍घीय राज्य र प्रदेश	Social Studies	Community		
8SS01.03	15	2	chapter	Drinking Water	खाने पानी	Social Studies	Community	Everyday Life	Other Everyday Life
8SS01.04	17	2	chapter	Energy	ऊर्जा	Social Studies	Economy	Business	Energy
8SS01.05	19	2	chapter	Manpower	जनशक्ति	Social Studies	Economy	People	
8SS01.06	21	2	chapter	Development Plrojects in Nepal	नेपालमा विकास आयोजना	Social Studies	Community	Social Organization	Non-Profits
8SS01.07	23	1	chapter	Review Exercises	पूनरवलोकन अभ्यास	Social Studies			
8SS02.00	24	1	chapter	Our Social Values & Beliefs	हाम्रो सामाजिक मूल्य र मान्यता	Social Studies			
8SS02.01	25	2	chapter	Social Traditions and Customs of Nepal	नेपालका सामाजिक परम्परा र प्रचलन	Social Studies	History	Nepal	History
8SS02.02	27	2	chapter	Religions Prevailing in Nepal	नेपालमा प्रचलित धर्महरू	Social Studies	History	Nepal	History
8SS02.03	29	2	chapter	Social Harmony	सामाजिक सद्‌भाव	Social Studies	History	Nepal	History
8SS02.04	31	2	chapter	Beautiful Garden Nepal	सुन्दर फूलबारी नेपाल	Social Studies	History	Nepal	History
8SS02.05	33	2	chapter	National Heritage	राष्‍ट्रिय सम्पदा	Social Studies	History	Nepal	History
8SS02.06	35	2	chapter	International Personality	अन्तर्राष्‍ट्रिय व्यक्तित्व	Social Studies	History	Nepal	International Relations
8SS02.07	37	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS03.00	38	1	chapter	Social Problems & Solutions	सामाजिक समस्या र समाधान	Social Studies			
8SS03.01	39	2	chapter	Social Problems	सामाजिक समस्याहरू	Social Studies	Issues	People	
8SS03.02	41	2	chapter	Corruption	भ्रष्‍टाचार	Social Studies	Issues	Conflict	Politics
8SS03.03	43	2	chapter	Drug Abuse	लागु पदार्थ दूर्व्यसन	Social Studies	Issues	People	
8SS03.04	45	2	chapter	Conflict and its Management	द्वन्द्व र त्यसको व्यवस्थापन	Social Studies	Issues	Conflict	Other Conflict
8SS03.05	47	2	chapter	Sustainable Development	दिगो विकास	Social Studies	Economy	Other Economy	Sustainable Development
8SS03.06	49	2	chapter	Good Governance	सुशासन	Social Studies	Community	Government	National
8SS03.07	51	2	chapter	International Organizations	अन्तर्राष्‍ट्रिय सङ्‌ग संस्थाहरू	Social Studies	Community	Social Organization	Neighborhood
8SS03.08	53	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS04.00	54	1	chapter	Civic Consciousness	नागरिक चेतना	Social Studies			
8SS04.01	55	2	chapter	Social Rules	सामाजिक नियम	Social Studies	Issues	People	
8SS04.02	57	2	chapter	Human Rights	मानव अधिकार	Social Studies	Issues	Human Rights	
8SS04.03	59	2	chapter	Women’s Rights	महिला अधिकार	Social Studies	Issues	Human Rights	Girls & Women
8SS04.04	61	2	chapter	Relationships	समावेशीकरण	Social Studies	Issues	Human Rights	Other Human Rights
8SS04.05	63	2	chapter	Regulations Regarding Relationships in Nepal	नेपालमा समावेशीकरण का प्रावधानहरू	Social Studies	Issues	Human Rights	Other Human Rights
8SS04.06	65	2	chapter	Features of our Constitution	हाम्रो संविधानका विशेषताहरू	Social Studies	Community	Government	Current Affairs
8SS04.07	67	2	chapter	Social Responsibilities	नागरिक दायित्व	Social Studies	Community	Government	
8SS04.08	69	2	chapter	Legislature	व्यवस्थापिका	Social Studies	Community	Government	National
8SS04.09	71	2	chapter	Executive	कार्यपालिका	Social Studies	Community	Government	National
8SS04.10	73	2	chapter	Judiciary	न्यायपालिका	Social Studies	Community	Government	National
8SS04.11	75	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS05.00	76	1	chapter	Our Earth	हाम्रो पृथ्वी	Social Studies			
8SS05.01	77	2	chapter	Our Earth	ऋतु परिवर्तन	Social Studies	Geography		
8SS05.02	79	2	chapter	Weather and Climate	मौसम र हावापानी	Social Studies	Geography	Landforms	
8SS05.03	81	2	chapter	The Factors that Influence the Temperature of the Surface	धरातलको तापक्रममा प्रभाव पार्ने तत्त्वहरू	Social Studies	Geography	Landforms	
8SS05.04	83	2	chapter	Climate Change	जलवायु परिवर्तन	Social Studies	Geography	Landforms	
8SS05.05	85	2	chapter	The Effect of Latitude and Longitude	अक्षांश र देशान्तरको प्रभाव	Social Studies	Geography	Landforms	
8SS05.06	87	2	chapter	Districts and Zones of Nepal	नेपालका जिल्ला र अञ्‍चल	Social Studies	Geography	Asia	Nepal
8SS05.07	89	2	chapter	The Use of Distance in Map Studies	नक्सा अध्ययनमा दुरीको प्रयोग	Social Studies	Geography	Maps	Country
8SS05.08	91	2	chapter	Map of Nepal	नेपालको नक्सा	Social Studies	Geography	Maps	Country
8SS05.09	93	2	chapter	Earthquake	भूकम्प	Social Studies	Geography	Landforms	
8SS05.10	95	2	chapter	Storms	हावाहूरी	Social Studies	Geography	Landforms	
8SS05.11	97	2	chapter	African Continent	अफ्रिका महादेश	Social Studies	Geography	Maps	Continents
8SS05.12	99	2	chapter	North America	उत्तर अमेरिका	Social Studies	Geography	Maps	Continents
8SS05.13	101	2	chapter	Travel to South America	दक्षिण अमेरिकाको यात्रा	Social Studies	Geography	Maps	Continents
8SS05.14	103	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS06.00	104	1	chapter	Our Past	हाम्रो विगत	Social Studies			
8SS06.01	105	2	chapter	Participation of the People in Nepal's Unification Campaign	नेपालको एकीकरण अभियानमा जनताको सहभागिता	Social Studies	History	Nepal	Events
8SS06.02	107	2	chapter	Integration of Nepal	नेपालको एकीकरण	Social Studies	History	Nepal	History
8SS06.03	109	2	chapter	Continuity and end of integration	एकीकरणको निरन्तरता र अन्त्य	Social Studies	History	Nepal	History
8SS06.04	111	2	chapter	The Political Order of the Sugauli Treaty 2	सुगौली सन्धिपछिको राजनीतिक घटना क्रम	Social Studies	History	Nepal	History
8SS06.05	113	2	chapter	National Political Activities	राणा कालीन राजनीतिक क्रियाकलाप	Social Studies	History	Nepal	Politics
8SS06.06	115	2	chapter	The Economic and Social Activities of the Nation	राणा कालीन आर्थिक र सामाजिक कार्यहरू	Social Studies	History	Nepal	History
8SS06.07	117	2	chapter	The Order and Achievements of the Major Political Parties of the year 1946	२००७ सालपछिको प्रमूख राजनीतिक घटना क्रम र उपलब्धि	Social Studies	History	Nepal	History
8SS06.08	119	2	chapter	Civilization of Greece and Rome	ग्रिस र रोमको सभ्यता	Social Studies	History	Other Countries	
8SS06.09	121	2	chapter	Renaissance	पुनर्जागरण	Social Studies	History		
8SS06.10	123	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS07.00	124	1	chapter	Our Economic Activity	हाम्रो आर्थिक क्रियाकलाप	Social Studies			
8SS07.01	125	2	chapter	Tourism Industry	पर्यटन उद्‌योग	Social Studies	Economy	Occupations	Business
8SS07.02	127	2	chapter	Foreign Trade	वैदेशिक व्यापार	Social Studies	Economy	Business	Market
8SS07.03	129	2	chapter	Currency	मूद्रा	Social Studies	Economy	Business	Currency & Money
8SS07.04	131	2	chapter	The Bank	बैङ्‌क	Social Studies	Economy	Business	Currency & Money
8SS07.05	133	2	chapter	Price Determination and Inflation	वस्तुको मूल्य निर्धारण र मूल्य वृद्धि	Social Studies	Economy	Business	Market
8SS07.06	135	2	chapter	Capital Establishment and Cooperation	पुँजी निर्माण र सहकारिता	Social Studies	Economy	Business	Companies
8SS07.07	137	2	chapter	Employment Status in Nepal	नेपालमा रोजगारीको अवस्था	Social Studies	Economy	Occupations	Service
8SS07.08	139	1	chapter	Review Exercises	पुनरवलोकन अभ्यास	Social Studies			
8SS08.00	140	1	chapter	Our International Relations & Cooperation	हाम्रो अन्तर्राष्‍ट्रिय सम्बन्ध र सहयोग	Social Studies			
