	7SS			
7SS01.00	8	1	10	1
7SS01.01	9	4	11	2
7SS01.02	13	3	13	2
7SS01.03	16	3	15	2
7SS01.04	19	3	17	2
7SS01.05	22	4	19	2
7SS02.00	26	1	21	2
7SS02.01	27	3	23	3
7SS02.02	30	3	26	1
7SS02.03	33	3	27	2
7SS02.04	36	3	29	2
7SS02.05	39	4	31	2
7SS02.06	43	3	33	2
7SS03.00	46	1	35	2
7SS03.01	47	3	37	2
7SS03.02	50	3	39	2
7SS03.03	53	3	41	3
7SS03.04	56	3	44	1
7SS03.05	59	3	45	2
7SS03.06	62	4	47	2
7SS04.00	66	1	49	2
7SS04.01	67	3	51	2
7SS04.02	70	3	53	2
7SS04.03	73	3	55	2
7SS04.04	76	3	57	2
7SS04.05	79	3	59	3
7SS05.00	82	1	62	1
7SS05.01	83	3	63	2
7SS05.02	86	3	65	2
7SS05.03	89	2	67	2
7SS05.04	91	3	69	2
7SS05.05	94	4	71	2
7SS06.00	98	1	73	2
7SS06.01	99	3	75	2
7SS06.02	102	3	77	2
7SS06.03	105	3	79	3
7SS06.04	108	2	82	1
7SS06.05	110	3	83	2
7SS06.06	113	3	85	2
7SS06.07	116	4	87	2
7SS07.00	120	1	89	2
7SS07.01	121	4	91	2
7SS07.02	125	3	93	2
7SS07.03	128	3	95	2
7SS07.04	131	3	97	2
7SS07.05	134	3	99	2
7SS07.06	137	5	101	2
7SS08.00	142	1	103	3
7SS08.01	143	3	106	1
7SS08.02	146	3	107	2
7SS08.03	149	3	109	2
7SS08.04	152	2	111	2
7SS08.05	154	4	113	2
7SS09.00	158	1	115	2
7SS09.01	159	4	117	2
7SS09.02	163	3	119	3
7SS09.03	166	2	122	1
7SS09.04	168	2	123	2
7SS09.05	170	9	125	2
7SS10.03			127	2
7SS10.04			129	2
7SS10.05			131	3
7SS11.00			134	1
7SS12.01			135	2
7SS12.02			137	2
7SS12.03			139	2
7SS12.04			141	2
7SS12.05			143	3
7SS13.00			146	1
7SS13.01			147	2
7SS13.02			149	2
7SS13.03			151	2
7SS13.04			153	2
7SS13.05			155	2
7SS13.06			157	2
7SS13.07			159	2
7SS13.08			161	2
7SS13.09			163	3
7SS14.00			166	1
7SS14.01			167	2
7SS14.02			169	2
7SS14.03			171	2
7SS14.04			173	2
7SS14.05			175	2
7SS14.06			177	2
7SS14.07			179	3
	6M			
6M01.00	12	1	5	14
6M01.01	12	5	19	6
6M01.02	16	4	25	4
6M01.03	19	4	29	3
6M01.04	22	4	32	13
6M01.05	25	4	45	2
6M02.00	29	1	47	5
6M02.01	29	5	52	18
6M02.02	33	4	70	26
6M02.03	36	5	96	2
6M02.04	40	4	98	2
6M02.05	43	3	100	34
6M02.06	45	6	134	8
6M02.07	50	4	142	5
6M02.08	53	4	147	6
6M02.09	56	5	153	3
6M02.10	60	5	156	6
6M02.11	65	5	162	14
6M03.00	70	1	176	14
6M03.01	70	2	190	17
6M04.00	72	1		
6M04.01	72	7		
6M04.02	78	6		
6M04.03	84	8		
6M04.04	91	6		
6M04.05	96	3		
6M04.06	99	2		
6M04.07	101	4		
6M04.08	104	4		
6M04.09	107	3		
6M05.00	110	1		
6M05.01	110	4		
6M05.02	113	3		
6M06.00	116	1		
6M06.01	116	3		
6M06.02	118	5		
6M07.00	123	1		
6M07.01	123	3		
6M07.02	125	3		
6M08.00	128	1		
6M08.01	128	4		
6M08.02	131	3		
6M09.01	134	3		
6M10.00	137	1		
6M10.01	137	3		
6M10.02	139	4		
6M11.00	143	1		
6M11.01	143	2		
6M11.02	144	3		
6M11.03	146	2		
6M11.04	148	3		
6M11.05	151	2		
6M11.06	153	2		
6M12.00	155	1		
6M12.01	155	2		
6M12.02	156	3		
6M12.03	158	2		
6M12.04	159	6		
6M12.05	164	6		
6M12.06	169	4		
6M13.00	173	1		
