cl_lo	cl_hi	ch_id	nch_id	key1	key2	key3	key4	lang	src	ft	fn	nfn	dn	ndn	fp
1	1	1EN01.01		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	1. Class 1 _ English _ Unit-1 _ Me And My Family _.mp4		C1 U1 L1 Greetings 1		../content/CEHRD/Class1/English/
1	1	1EN01.02		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	2. Class 1 _ English _ Unit-1 _ Greetings _.mp4		C1 U1 L2 and 3 Greetings  2		../content/CEHRD/Class1/English/
1	1	1EN01.04		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	3. Class 1 _ English _ Farewell Taking Leave _ Lesson 4 and 5 _.mp4		C1 U1 L4 and 5 Farewell Taking Leave		../content/CEHRD/Class1/English/
1	1	1EN01.06		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	4. Class 1 _ English _ Introduction _ Lesson 6 & 7 _.mp4		C1 U1 L6 and 7 Introduction 1		../content/CEHRD/Class1/English/
1	1	1EN01.08		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	5. Class 1_English _Unit  8,9 and 10_ Me and My Family.mp4		C1 U1 L8, 9 and 10 Introduction 2		../content/CEHRD/Class1/English/
1	1	1EN01.11		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	6. Class 1_ English _ Me and My Family _.mp4		C1 U1 L11 Introduction 3		../content/CEHRD/Class1/English/
1	1	1EN01.12		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	7. Class 1। Engilsh। Unit 1। Lesson 12 । Animal Sound ।.mp4		C1 U1 L12 Animal Sound 1		../content/CEHRD/Class1/English/
1	1	1EN01.13		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	8. Class 1। English । Lesson 11। Learning Animals Sound ।.mp4		C1 U1 L13 Animal Sound 2		../content/CEHRD/Class1/English/
1	1	1EN01.14		Language	English	Grammar	Vocabulary	en	CEHRD	mp4	9. Class 1। English । Unit 1। Lesson 14.mp4		C1 U1 L14 Animal Sound 3		../content/CEHRD/Class1/English/
1	1	1EN02.15		Language	English	Grammar	Alphabet	en	CEHRD	mp4	10. Class 1। English । Unit 1। Alphabet A ।.mp4		C1 U2 L15 Alphabet Aa		../content/CEHRD/Class1/English/
1	1	1EN02.16		Language	English	Grammar	Alphabet	en	CEHRD	mp4	11. Class 1 । English । Lesson 16 । Alphabets ।.mp4		C1 U2 L16 Alphabet Aa		../content/CEHRD/Class1/English/
1	1	1EN02.17		Language	English	Grammar	Alphabet	en	CEHRD	mp4	12. Class-1 । English । Lesson-17 । Alphabet- Bb ।.mp4		C1 U2 L17 Alphabet Bb		../content/CEHRD/Class1/English/
1	1	1EN02.18		Language	English	Grammar	Alphabet	en	CEHRD	mp4	13. Class-1 । English । Lesson -18 । Alphabet - Bb ।.mp4		C1 U2 L18 Alphabet Bb		../content/CEHRD/Class1/English/
1	1	1EN02.19		Language	English	Grammar	Alphabet	en	CEHRD	mp4	14. Class-1 । English । Lesson-19 । Alphabet Cc ।.mp4		C1 U2 L19 Alphabet Cc		../content/CEHRD/Class1/English/
1	1	1EN02.20		Language	English	Grammar	Alphabet	en	CEHRD	mp4	15. Class-1 । English । Lesson- 20 । Alphabet Cc ।.mp4		C1 U2 L20 Alphabet Cc		../content/CEHRD/Class1/English/
1	1	1EN02.22		Language	English	Grammar	Alphabet	en	CEHRD	mp4	17. Class-1। English । Lesson -22 । Alphabet  Dd ।.mp4		C1 U2 L22 Alphabet Dd		../content/CEHRD/Class1/English/
1	1	1EN02.23		Language	English	Grammar	Alphabet	en	CEHRD	mp4	18. Class-1 । English । Lesson-23 । Alphabet  E ।.mp4		C1 U2 L23 Alphabet Ee		../content/CEHRD/Class1/English/
1	1	1EN02.24		Language	English	Grammar	Alphabet	en	CEHRD	mp4	19. Class-1 । English । Lesson-24 । Alphabet  E ।.mp4		C1 U2 L24 Alphabet Ee		../content/CEHRD/Class1/English/
1	1	1EN02.28		Language	English	Grammar	Alphabet	en	CEHRD	mp4	23. Class 1_ English _ Lesson 28 _ Alphabet Gg.mp4		C1 U2 L28 Alphabet Gg		../content/CEHRD/Class1/English/
1	1	1EN02.29		Language	English	Grammar	Alphabet	en	CEHRD	mp4	24. Class 1 _ English _ Lesson 29 _ Alphabet Gg.mp4		C1 U2 L29 Alphabet Gg		../content/CEHRD/Class1/English/
1	1	1EN02.30		Language	English	Grammar	Alphabet	en	CEHRD	mp4	25. Class 1_ English _ Lesson 30 _ Alphabet Hh.mp4		C1 U2 L30 Alphabet Hh		../content/CEHRD/Class1/English/
1	1	1EN02.31		Language	English	Grammar	Alphabet	en	CEHRD	mp4	26. Class 1 _ English _ Lesson 31 _ Alphabets Hh.mp4		C1 U2 L31 Alphabet Hh		../content/CEHRD/Class1/English/
1	1	1EN02.32		Language	English	Grammar	Alphabet	en	CEHRD	mp4	27. Class 1 _ English _ Lesson 32 _ Alphabet 'Ii'.mp4		C1 U2 L32 Alphabet Ii		../content/CEHRD/Class1/English/
1	1	1EN02.34		Language	English	Grammar	Alphabet	en	CEHRD	mp4	28. Class 1_ English _ Lesson 34 _ Topic Alphabet 'Jj'.mp4		C1 U2 L34 Alphabet Jj		../content/CEHRD/Class1/English/
1	1	1EN02.35		Language	English	Grammar	Alphabet	en	CEHRD	mp4	29. Class 1_ English _ Lesson 35 _ Topic Alphbet Jj.mp4		C1 U2 L35 Alphabet Jj		../content/CEHRD/Class1/English/
1	1		1N01	Language	Nepali	People		np	CEHRD	mp4		१. कक्षा–१ _ मेरो नेपाली _ पाठ–१_ विषय क्षेत्रः म र मेरो परिवार _.mp4		क१ ए१ पा१ म र मेरो परिवार	../content/CEHRD/Class1/Nepali/
1	1		1N01	Language	Nepali	People		np	CEHRD	mp4		२. कक्षा–१ _ मेरो नेपाली _ पाठ–२ _ विषय क्षेत्रः म र मेरो परिवार _.mp4		क१ ए१ पा२ म र मेरो परिवार	../content/CEHRD/Class1/Nepali/
1	1		1N01	Language	Nepali	People		np	CEHRD	mp4		३. कक्षा–१ _ मेरो नेपाली _ पाठ–३ _ विषय क्षेत्रः म र मेरो परिवार _.mp4		क१ ए१ पा३ म र मेरो परिवार	../content/CEHRD/Class1/Nepali/
1	1		1N02	Language	Nepali	Contexts	Activities	np	CEHRD	mp4		४. कक्षा–१ _ मेरो नेपाली _ पाठ–३ _ विषयक्षेत्र– मेरा दैनिक जीवन _.mp4		क१ ए२ पा४ मेरा दैनिक जीवन	../content/CEHRD/Class1/Nepali/
1	1		1N02	Language	Nepali	Contexts	Activities	np	CEHRD	mp4		५.  कक्षा–१। मेरो नेपाली । पाठ– ५ । पाठ शीर्षक – मेरो दैनिक जीवन.mp4		क१ ए२ पा५ मेरा दैनिक जीवन	../content/CEHRD/Class1/Nepali/
1	1		1N04	Language	Nepali	Textbooks		np	CEHRD	mp4		८. कक्षा–१ । मेरो नेपाली । पाठ – ८ । मेरो विद्यालय ।.mp4		क१ ए४ पा८ विद्यालय	../content/CEHRD/Class1/Nepali/
1	1		1N04	Language	Nepali	Textbooks		np	CEHRD	mp4		९. कक्षा–१। मेरो नेपाली । पाठ–९ । मेरो विद्यालय ।.mp4		क१ ए४ पा९ विद्यालय	../content/CEHRD/Class1/Nepali/
