_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
1M01	8	12	chapter	Shape type and location	आकारप्रकार र स्थान	Mathematics	Geometry	Shapes	
1M02	20	4	chapter	Lines	रेखाहरू	Mathematics	Geometry	Shapes	Line
1M03	24	10	chapter	Geometric shapes	ज्यामितीय आकारहरू	Mathematics	Geometry	Shapes	
1M04	34	18	chapter	Numbers up to 9	९ सम्मका सङ्ख्याहरू	Mathematics	Numbers		
1M05	52	5	chapter	Zero	शून्य	Mathematics	Numbers		
1M06	57	6	chapter	Ten	दश	Mathematics	Numbers		
1M07	63	19	chapter	Addition up to 10	योगफल १० सम्म आउने जोड	Mathematics	Arithmetic	Addition & Subtraction	
1M08	82	18	chapter	Subtract numbers up to 10	१० सम्मका सङ्ख्याहरूको घटाउ	Mathematics	Arithmetic	Addition & Subtraction	
1M09	100	12	chapter	Numbers from 11 to 20	११ देखि २० सम्मका सङ्ख्याहरू	Mathematics	Numbers	Natural	
1M10	112	10	chapter	Addition up to 20	योगफल २० सम्म आउने जोड	Mathematics	Arithmetic	Addition & Subtraction	
1M11	122	9	chapter	Subtract numbers up to 20	२० सम्मका सङ्ख्याहरूको घटाउ	Mathematics	Arithmetic	Addition & Subtraction	
1M12	131	4	chapter	Strong and odd numbers	जोर र बिजोर सङ्ख्याहरू	Mathematics	Numbers	Even & Odd	
1M13	135	2	chapter	Numbers up to 20 in letters	२० सम्मका सङ्ख्याहरु अक्षरमा	Mathematics	Numbers		
1M14	137	6	chapter	Irrational numbers	क्रमात्मक सङ्ख्याहरू	Mathematics	Numbers	Ordinal	
1M15	143	14	chapter	Numbers from 21 to 100	२१ देखि १०० सम्मका सङ्ख्याहरू	Mathematics	Numbers Natural		
1M16	157	7	chapter	Addition up to 100	योगफल १०० सम्म आउने जोड	Mathematics	Numbers	Even & Odd	
1M17	164	6	chapter	Subtraction of numbers up to two digits	दुई अङ्कसम्मका सङ्ख्याहरूको घटाउ	Mathematics	Arithmetic	Addition & Subtraction	
1M18	170	11	chapter	Up to 100 Hindu Arabic numerals	१०० सम्मका हिन्दु अरेबिक सङ्ख्याङ्कहरू	Mathematics	Numbers		
1M19	181	4	chapter	Time	समय	Mathematics	Measurement	Date & Time	
1M20	185	5	chapter	Coins and notes	सिक्का र नोटहरू	Mathematics	Measurement	Currency	
1M21	190	5	chapter	Length	लम्बाइ	Mathematics	Measurement	Length	
1M22	195	7	chapter	Graph	चित्रग्राफ	Mathematics	Other Mathematics	Graphs	
2M01.00	7	0	section	Me and my family	म र मेरो परिवार				
2M01.01	7	10	chapter	Lesson 1 Ability	क्षमत	Mathematics	Arithmetic	Addition & Subtraction	
2M02.00	17	0	section	My daily life	मेरो दैनिक जीवन				
2M02.01	17	6	chapter	Lesson 2 time	समय	Mathematics	Measurement	Date & Time	
2M03.00	23	0	section	Knowledge of numbers	सङ्ख्याको ज्ञान				
2M03.01	23	60	chapter	Lesson 3 Numbers up to 1000	१००० सम्मका सङ्ख्याहरू	Mathematics	Numbers	Other Numbers	
2M04.00	83	0	section	Our community	हाम्रो समुदाय				
2M04.01	83	6	chapter	Lesson 4 Comparison of numbers	सङ्ख्याहरूको तुलना	Mathematics	Numbers	Significance	
2M04.02	89	4	chapter	Lesson 5 Even and odd numbers	जोर र बिजोर सङ्ख्याहरू	Mathematics	Arithmetic	Even & Odd	
2M04.03	93	8	chapter	Lesson 6 Weight	तौल	Mathematics	Measurement	Weight	
2M05.00	101	0	section	Basic Mathematical Procedures 1	गणितका आधारभूत क्रिया १				
2M05.01	101	20	chapter	Lesson 7 Addition	जोड	Mathematics	Arithmetic	Addition & Subtraction	
2M05.02	121	32	chapter	Lesson 8 h	घटाउ	Mathematics	Arithmetic	Addition & Subtraction	
2M06.00	153	0	section	My school	मेरो विद्यालय				
