addition	जोड
climate	जलवायु
half	आधा
Looma	लूमा
sand	बालुवा
style	ढाँचा
teach	सिकाउनु
travel	घुम्नु
welcome	स्वागत
WHO	विश्व स्वास्थ्य संगठन
ADSoN	क्षमता विकास समाज नेपाल
air	हावा
alternately	kfn}kfnf]
ambassador	राजदूत
ancestral rite	श्राद्ध
animal	जनावर
ant	कमिला
antelope	 मृग
bear	भालु
behavior	व्यवहार, बानी
best wishes	शुभकामना
biography	जीवनी
blessing	आशीर्वाद
bliss	आनन्द
Brahmin	ब्राह्मण
branch	हाँगा
bud	 कोपिला
Buddhism	बौद्ध धर्म
buffalo	भैंसी
butterfly	पुतली
camel	ऊँट
carnival	मेला
caste	जात
castrated goat	खसी
cat	बिरालो
chairperson	सभाध्यक्ष
chance, opportunity	अवसर
chicken	कुखुरा
chief guest	प्रमुख अतिथि
childhood	बाल्यकाल
Christianity	इसाई धर्म
closed	बन्द
club	 क्लब
collaboration	सहकार्य
committee	समिति
congratulations	बधाइ
contribution	योगदान
coordinator	संयोजक
cordial, heartfelt	हार्दिक
cow	गाई
crab	गँगटो
crocodile	गोही
crow	काग
CRPD	अपाङ्गता भएका व्यक्तिहरूको अधिकारसम्बन्धी महासन्धि (सीआरपीडी)
culture	संस्कृति
dalit	दलित
Dashain	दशैं
deer	जरायो
desert	मरुभूमी 
disappointed	निराश
discussion	छलफल
dog	कुकुर
donkey	गधा
duck	हाँस
dust	धुलो
eagle	चील
earth	पृथ्वी
earthquake	भूकम्प
earthworm	गड्यौला
elephant	हात्ती
entertainment	मनोरन्जन
envelope	खाम
environment	वातावरण
ethnicity	जातजाति
exchange	आदानप्रदान
exercise	अभ्यास
experience	अनुभव
fatigue	थकाई
favor	उपकार
favorable	अनुकुल
fear	डर
feast	भोज
feelings	भावनात्मक
festival	जात्रा
fight	भै झगडा
fish	माछा
flood	बाढी
fog	कुहिरो
forest	वनजंगल
frog	भ्यागुता
frustration	 दिक्क
fun	 रमाइलो
gestures	हाउभाउ
giraffe	जिराफ
grasshopper	 फट्याङ्ग्रा
guest	अतिथि
Gurung	गुरुङ
hail	असिना
happiness	खुशी, हर्ष
he-buffalo	 राँगो
he-goat	बोका
himalaya	हिमाल
Hinduism	हिन्दु धर्म
history	इतिहास
holi	होली
honey bee	मौरी
horse	घोडा
housefly	 झिंगा
hunger	भोक
ILO	अन्तर्राष्ट्रिय श्रम सङ्गठन
information	जानकारी
insult	 वेइज्जत, अपमान
invitation	 निमन्त्रणा
Islam	 इस्लाम धर्म
jackal	स्याल
Janai Purnima	जनै पूर्णिमा
JCI	जुनियर चेम्बर इन्टरनेशनल
