	8SS04.02 सामाजिक समस्या	8SS04.02					8	8	np	Social Studies	Issues	Other Issues			8SS04.02_सामाजिक_समस्या.json	game																					
	8SS08.02 जनगणना २०७८ तथ्याङ्क परीक्षण	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनगणना_२०७८_तथ्याङ्क_परीक्षण.json	game																					
	8SS08.02 जनसङ्ख्या बनोटका विविध आधार	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्या_बनोटका_विविध_आधार.json	game																					
	8SS08.02 जनसङ्ख्याको बनोटले सामाजिक र आर्थिक जनजीवनमा पार्ने प्रभाव	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्याको_बनोटले_सामाजिक_र_आर्थिक_जनजीवनमा_पार्ने_प्रभाव.json	game																					
	8SS08.03 भौगोलिक क्षेत्र र प्रदेशअनुसार जनसङ्ख्या वितरण	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_भौगोलिक_क्षेत्र_र_प्रदेशअनुसार_जनसङ्ख्या_वितरण.json	game																					
	8SS08.03 जनघनत्वको परिचय र अवस्था	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_जनघनत्वको_परिचय_र_अवस्था.json	game																					
	8SS09.04 नेपालमा साइबर अपराध नियन्त्रण	8SS09.04					8	8	np	Social Studies	Issues	Other Issues			8SS09.04_नेपालमा_साइबर_अपराध_नियन्त्रण.json	game																					
	8SS09.05 डेंगु रोगबाट बच्‍ने उपाय	8SS09.05					8	8	np	Science	Medicine	Disease & Injury	Other Disease		8SS09.05_डेंगु_रोगबाट_बच्‍ने_उपाय.json	game																					
	8SS09.05 विश्व कप फुटबल	8SS09.05					8	8	np	Social Studies	Community	Sports	Football		8SS09.05_विश्व_कप_फुटबल.json	game																					
	8SS09.05 कोप–२७ सम्मेलन	8SS09.05					8	8	np	Social Studies	Issues	Solutions			8SS09.05_कोप_२७_सम्मेलन.json	game																					
	7SS01.01 समाज विकासका पक्षहरू	7SS01.01					7	7	np	Social Studies	Community	Other Community			7SS01.01_समाज_विकासका_पक्षहरू.json	game																					
	7SS01.02 सामाजिकीकरण	7SS01.02					7	7	np	Social Studies	Community	Other Community			7SS01.02_सामाजिकीकरण.json	game																					
	7SS01.02 सामाजिकीकरणका संस्था र तिनका भूमिका	7SS01.02					7	7	np	Social Studies	Community	Social Organization	Other Social Organization		7SS01.02_सामाजिकीकरणका_संस्था_र_तिनका_भूमिका.json	game																					
	7SS01.04 यातायात पूर्वाधार र सञ्‍चार पूर्वाधार	7SS01.04					7	7	np	Social Studies	Community	Social Organization	Infrastructure		7SS01.04 _यातायात_पूर्वाधार_र_सञ्‍चार_पूर्वाधार.json	game																					
	7SS01.05 जिल्ला समन्वय समितिका कार्यहरू	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_समन्वय_समितिका_कार्यहरू.json	game																					
	7SS01.05 जिल्ला समन्वय समितिको गठन प्रक्रिया	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_समन्वय_समितिको_गठन_प्रक्रिया.json	game																					
	7SS01.05 जिल्ला सभा गठन प्रक्रिया	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_सभा_गठन_प्रक्रिया.json	game																					
	7SS02.01 इमानदारी	7SS02.01					7	7	np	Social Studies	Community	Everyday Life	Other Everyday Life		7SS02.01_इमानदारी.json	game																					
	7SS02.01 आपसी सद्भाव	7SS02.01					7	7	np	Social Studies	Community	Everyday Life	Cooperation		7SS02.01_आपसी_सद्भाव.json	game																					
	7SS02.02 संस्कारको वर्गीकरण	7SS02.02					7	7	np	Social Studies	Community	Everyday Life	Customs		7SS02.02_संस्कारको_वर्गीकरण.json	game																					
