Ministry of Federal Affairs and Local Development	सङ्घीय मामिला तथा स्थानीय विकास मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Federal_Affairs_and_Local_Development.jpg		image																					
Ministry of Finance	अर्थ मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Finance.jpg		image																					
Prime Minister's Office	प्रधानमन्त्रीको कार्यालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Prime_Minister's_Office.jpg		image																					
	न्यायपालिकाको परिचय र गठन प्रक्रिया	8SS03.04					7	10	np	Social Studies	Community	Social Organization	Laws		न्यायपालिकाको_परिचय_र_गठन_प्रक्रिया.jpg	image																					
Supreme Court of Nepal	नेपालको सर्वोच्च अदालत	8SS03.04	8SS01.04				6	10	both	Social Studies	Community	Social Organization	Laws	Supreme_Court_of_Nepal.jpg		image																					
																																					
District Court	जिल्ला अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	District_Court.jpg		image																					
High Court	उच्च अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	High_Court.jpg		image																					
																																					
	सकारात्मक भेद	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation		सकारात्मक_भेद.jpg	image																					
	समावेशीकरणको परिचय	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation		समावेशीकरणको_परिचय.jpg	image																					
																																					
Inclusion	समावेशीकरण	8SS03.05					7	10	both	Social Studies	Community	Everyday Life	Cooperation	Inclusion.jpg		image																					
	सुशासन	8SS03.07					8	10	np	Social Studies	Community	Government			सुशासन.jpg	image																					
Use of Information	सूचनाको प्रयोग	8SS03.07					6	10	both	Social Studies	Issues	Human Rights	Other Human Rights	Use_of_Information.jpg		image																					
	बाल मजदुर	8SS04.01					6	10	np	Social Studies	Issues	Human Rights	Slavery		बाल_मजदुर.mp4	video																					
	दाइजो प्रथा न्युनिकरण	8SS04.01					6	10	np	Social Studies	Issues	Other Issues			दाइजो_प्रथा_न्युनिकरण.mp4	video																					
	8SS04.02 सामाजिक समस्या	8SS04.02					8	8	np	Social Studies	Issues	Other Issues			8SS04.02_सामाजिक_समस्या.json	game																					
Awareness Program	सचेतना कार्यक्रम	8SS04.03					7	10	both	Social Studies	Issues	Solutions		Awareness_Program.jpg		image																					
																																					
Protest	विरोध प्रदर्शन	8SS04.05	7SS04.05				6	10	both	Social Studies	Issues	Conflict		Protest.jpg		image																					
																																					
	गोपाल वंश	8SS05.02					7	8	np	Social Studies	History	Nepal			गोपाल_वंश.pdf	pdf																					
	किराँत जाति	8SS05.02					7	8	np	Social Studies	Beliefs	Religions	Other Religions		किराँत_जाति.pdf	pdf																					
	प्राचीन समय र वर्तमान समयको आर्थिक क्रियाकलापबिच तुलना	8SS05.02					7	9	np	Social Studies	Community	Everyday Life	Other Everyday Life		प्राचीन_समय_र_वर्तमान_समयको_आर्थिक_क्रियाकलापबिच_तुलना.jpg	image																					
	"महिषपाल, गोपाल र किराँत वंशका प्रथम र अन्तिम राजाहरूको नाम"	8SS05.02					7	8	np	Social Studies	History	Nepal	History		महिषपाल_गोपाल_र_किराँत_वंशका_प्रथम_र_अन्तिम_राजाहरूको_नाम.jpg	image																					
	काठमाडौं उपत्यकाको सभ्यता	8SS05.03					7	9	np	Social Studies	History	Nepal	History		काठमाडौं_उपत्यकाको_सभ्यता.jpg	image																					
Martyrs	सहिदहरू	8SS05.04					6	10	both	Social Studies	History	Nepal	Famous Persons	Martyrs.jpg		image																					
Shahid Gate	सहिद गेट	8SS05.04					6	10	both	Social Studies	History	Nepal	History	Shahid_Gate.jpg		image																					
	प्रथम सहिद लखन थापा	8SS05.04					7	9	np	Social Studies	History	Nepal	Famous Persons		प्रथम_सहिद_लखन_थापा.mp4	video																					
Brunelleschi	ब्रुन्लेस्की	8SS05.08					7	10	both	Social Studies	History	People		Brunelleschi.jpg		image																					
Ghiberti	गिवर्टी	8SS05.08					7	10	both	Social Studies	History	People		Ghiberti.jpg		image																					
Erasmus	इरामस	8SS05.08					7	10	both	Social Studies	History	People		Erasmus.jpg		image																					
Spenser	स्पेन्सर	8SS05.08					7	10	both	Social Studies	History	People		Spenser.jpg		image																					
Old Nepali Coins	पुराना नेपाली सिक्काहरू	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Coins.jpg		image																					
Old Nepali Note	पुरानो नेपाली नोट	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Note.jpg		image																					
Nepal Rastra Bank	नेपाल राष्ट्र बैंक	8SS06.02					6	10	both	Social Studies	Economy	Business	Currency & Money	Nepal_Rastra_Bank.jpg		image																					
	नेपालीहरू वैदेशिक रोजगारीमा जाने कारणहरू	8SS06.05					7	9	np	Social Studies	Issues	Other Issues			नेपालीहरू_वैदेशिक_रोजगारीमा_जाने_कारणहरू.jpg	image																					
