dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft														
A Good Meal		7SS02.06	7SS02.07				3	10	both	Science	Medicine	Healthy Living	Nutrition			image														
Active Learning - drama game		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image														
Araniko		7SS05.05					4	8	both	Social Studies	Arts	People				image														
Araniko Highway	अरणिको राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Araniko_Highway.jpg		image														
"Araniko, the Great Architect of Nepal"		7SS05.05					4	8	np	Social Studies	Arts	People				video														
Awareness Program	सचेतना कार्यक्रम	8SS04.03					7	10	both	Social Studies	Issues	Solutions		Awareness_Program.jpg		image														
bhat		7SS02.06					1	10	both	Social Studies	Community	Everyday Life	Food			image														
Birendra with Rajiv Gandhi	राजीव गान्धीसँग विरेन्द्र	8SS09.01					7	9	both	Social Studies	History	Nepal	Famous Persons	Birendra_with_Rajiv_Gandhi.jpg		image														
Bishnu's Marriage		7SS01.02	7SS02.03				4	10	both	Social Studies	Community	Everyday Life	Customs			image														
Boudhanath and prayer flags		7SS02.07					4	9	both	Social Studies	Community	Everyday Life	Religious Sites			image														
Brunelleschi	ब्रुन्लेस्की	8SS05.08					7	10	both	Social Studies	History	People		Brunelleschi.jpg		image														
Buddhist Spinning Prayer Wheel		7SS02.03					4	10	both	Social Studies	Beliefs	Religions	Buddhism			image														
Christmas		7SS02.04					2	12	both	Social Studies	Beliefs	Religions	Christianity			image														
Cleaning street		7SS03.02					4	8	both	Social Studies	Issues	Other Issues	Sanitation			image														
Computers		7SS09.03					4	10	both	Science	Technology	Electrical	Electronics			image														
Constitution of Nepal		7SS03.01	7SS03.03				5	10	both	Social Studies	Issues	Solutions				image														
Cow Tihar Festival		7SS02.04					4	10	both	Social Studies	Community	Everyday Life	Celebrations			image														
Cracked road 2015 Nepal earthquake		7SS07.09	7SS07.03				5	8	both	Social Studies	History	Nepal	Geography			image														
Creek Flooding		7SS07.08	8SS07.03				4	10	both	Science	Earth	Oceans & Water	Flood			image														
Cultural Dresses		7SS02.06					4	10	both	Social Studies	Community	Everyday Life	Clothing			image														
Deforestation In Action		7SS08.03					4	9	both	Science	Earth	Human Impact				image														
Deforestation In Action		7SS07.08	8SS07.03				4	9	both	Science	Earth	Human Impact				image														
District Court	जिल्ला अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	District_Court.jpg		image														
Diwali ping swing		7SS02.07					2	10	both	Social Studies	Community	Everyday Life	Celebrations			image														
Dullav School near Gorkha		7SS01.03					5	10	both	Social Studies	Community	Education	Other Education			image														
Dullav students		7SS04.03					4	8	both	Social Studies	Community	Social Organization	Schools			image														
