अनेकार्थी शब्द		3N02	nepali	np	3	3	अनेकार्थी_शब्द.pdf	worksheet	WP II Lot 23
उल्टो अर्थ		3N08	nepali	np	3	3	उल्टो_अर्थ.pdf	worksheet	WP II Lot 23
कहाँ के लगाउने		1N01	nepali	np	1	1	कहाँ_के_लगाउने.pdf	worksheet	WP II Lot 23
क्रियापद		3N08	nepali	np	3	3	क्रियापद.pdf	worksheet	WP II Lot 23
चित्र र शब्द		1N08	nepali	np	1	1	चित्र_र_शब्द.pdf	worksheet	WP II Lot 23
जाति र चाडपर्व		3N08	nepali	np	3	3	जाति_र_चाडपर्व.pdf	worksheet	WP II Lot 23
जोडा पहिचान		3N11	nepali	np	3	3	जोडा_पहिचान.pdf	worksheet	WP II Lot 23
जोडा मिलाउ		1N09	nepali	np	1	1	जोडा_मिलाउ.pdf	worksheet	WP II Lot 23
जोडा मिलाउनुहोस्		3N01	nepali	np	3	3	जोडा_मिलाउनुहोस्.pdf	worksheet	WP II Lot 23
जोडा मिलाऔँ		1N09	nepali	np	1	1	जोडा_मिलाऔँ.pdf	worksheet	WP II Lot 23
धातु प्रत्यय पहिचान		3N04	nepali	np	3	3	धातु_प्रत्यय_पहिचान.pdf	worksheet	WP II Lot 23
पेशा र सामान		1N01	nepali	np	1	1	पेशा_र_सामान.pdf	worksheet	WP II Lot 23
फरक चित्र चिनौँ		1N01	nepali	np	1	1	फरक_चित्र_चिनौँ.pdf	worksheet	WP II Lot 23
मात्राको रमाइलो तालिका		1N07	nepali	np	1	1	मात्राको_रमाइलो_तालिका.pdf	worksheet	WP II Lot 23
मिल्ने क्रियापद		3N01	nepali	np	3	3	मिल्ने_क्रियापद.pdf	worksheet	WP II Lot 23
वर्ण परिवर्तन अभ्यास		3N01	nepali	np	3	3	वर्ण_परिवर्तन_अभ्यास.pdf	worksheet	WP II Lot 23
वाक्य रचना		3N01	nepali	np	3	3	वाक्य_रचना.pdf	worksheet	WP II Lot 23
वाक्यमा प्रयोग		3N11	nepali	np	3	3	वाक्यमा_प्रयोग.pdf	worksheet	WP II Lot 23
शब्द खोज		1N09	nepali	np	1	1	शब्द_खोज.pdf	worksheet	WP II Lot 23
शब्द निर्माण अभ्यास		3N11	nepali	np	3	3	शब्द_निर्माण_अभ्यास.pdf	worksheet	WP II Lot 23
शब्द पूरा गर्नुहोस्		3N03	nepali	np	3	3	शब्द_पूरा_गर्नुहोस्.pdf	worksheet	WP II Lot 23
शब्द र अक्षर		1N06	nepali	np	1	1	शब्द_र_अक्षर.pdf	worksheet	WP II Lot 23
शुद्ध अशुद्ध शब्द		3N05	nepali	np	3	3	शुद्ध_अशुद्ध_शब्द.pdf	worksheet	WP II Lot 23
समस्त शब्द निर्माण		3N08	nepali	np	3	3	समस्त_शब्द_निर्माण.pdf	worksheet	WP II Lot 23
