dn,ndn,ft,version,grade,subject,oleID,cl_lo,cl_hi,id,key1,key2,key3,src,thumb
क-ङ चिन,क-ङ चिन,EP,2019,grade1,nepali,nepknc01,1,2,knc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/ka_nga_gr101.png
च-ञ चिन,च-ञ चिन,EP,2019,grade1,nepali,nepntc01,1,2,ntc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/cha_yu_gr101.png
ट-ण चिन,ट-ण चिन,EP,2019,grade1,nepali,nepddc01,1,2,ddc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/ta_aanda_gr101.png
त-न चिन,त-न चिन,EP,2019,grade1,nepali,nepnrc01,1,2,nrc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/ta_nna_gr101.png
प-म चिन,प-म चिन,EP,2019,grade1,nepali,nepsgc01,1,2,sgc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/pa_maa_gr101.png
य-व चिन,य-व चिन,EP,2019,grade1,nepali,nepygc01,1,2,ygc,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/ja_sha_gr101.png
श-ज्ञ चिन,श-ज्ञ चिन,EP,2019,grade1,nepali,nepsgy01,1,2,sgy,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/sa_gya_gr101.png
मेरो घर आँगन,मेरो घर आँगन,EP,2019,grade1,nepali,nepmga01,1,2,mga,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/mero_ghar_aagan_gr101.png
आधा अक्षर,आधा अक्षर,EP,2019,grade1,nepali,nepaar01,1,2,aar,Language,Nepali,Alphabets,OLE,../ePaath/images/thumb/nepali/aadha_aachar_gr101.png
छुकछुके रेल,छुकछुके रेल,EP,2019,grade1,nepali,nepppg01,1,2,ppg,Language,Nepali,Grammar,OLE,../ePaath/images/thumb/nepali/purna_biram_gr101.png
टालाटुली बटुली,टालाटुली बटुली,EP,2019,grade1,nepali,neptat01,1,2,tat,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/talatuli-batuli-Gr-101.png
उल्टो उमेश,उल्टो उमेश,EP,2019,grade1,nepali,nepuum01,1,2,uum,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/ulto_umesh_gr101.png
विद्यालयको पहिलो दिन,विद्यालयको पहिलो दिन,EP,2019,grade1,nepali,nepbpd01,1,2,bpd,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/vidhyala_ko_pahilo_din_gr1_01.png
सीताको घर,सीताको घर,EP,2019,grade1,nepali,nepskg01,1,2,skg,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/sita_ko_ghar_gr101.png
मेरो काम,मेरो काम,EP,2019,grade1,nepali,nepmka01,1,2,mka,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/mero_kaam_gr101.png
कुराकानी,कुराकानी,EP,2019,grade1,nepali,nepkur01,1,2,kur,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/kurakani-Gr101.png
एक अनेक,एक अनेक,EP,2019,grade2,nepali,nepeka01,2,3,eka,Language,Nepali,Grammar,OLE,../ePaath/images/thumb/nepali/eaak_aanak_gr201.png
नाच्यो जुरेली,नाच्यो जुरेली,EP,2019,grade2,nepali,nepnaj01,2,3,naj,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/Naachyo-jureli-Gr-2-01.png
"अघि अघि रोटो, पछि पछि केटो","अघि अघि रोटो, पछि पछि केटो",EP,2019,grade2,nepali,neparp01,2,3,arp,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/aaghi_aaghi_roto_pachi_pachi_keto-Gr201.png
सिंह र मुसो,सिंह र मुसो,EP,2019,grade2,nepali,nepsrm01,2,3,srm,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/Singa-ra-musa-Gr-2-01.png
पुलिङ्ग र स्त्रीलिङ्ग,पुलिङ्ग र स्त्रीलिङ्ग,EP,2019,grade2,nepali,neppre01,2,3,pre,Language,Nepali,Grammar,OLE,../ePaath/images/thumb/nepali/strilinga-pulinga-Gr-201.png
घाँघरीको पोल्टो,घाँघरीको पोल्टो,EP,2019,grade2,nepali,nepgrp01,2,3,grp,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/Ghagari-ko-Polto--Gr-2-01.png
कछुवा र खरायो,कछुवा र खरायो,EP,2019,grade2,nepali,nepkra01,2,3,kra,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/kachuwa_ra_kharayo-Gr-201.png
घुमफिर,घुमफिर,EP,2019,grade2,nepali,nepghm01,2,3,ghm,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/ghum_phir_gr201.png
दुई दाउरे,दुई दाउरे,EP,2019,grade2,nepali,nepddr01,2,3,ddr,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/Dui-Daure-Gr-2-01.png
झूटो नबोल,झूटो नबोल,EP,2019,grade2,nepali,nepjnb01,2,3,jnb,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/jhoto_na_bola-Gr-201.png
आज्ञाकारी बनौँ,आज्ञाकारी बनौँ,EP,2019,grade2,nepali,nepagy01,2,3,agy,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/aagyakaari_banauu_gr201.png
पैसाको पीर,पैसाको पीर,EP,2019,grade2,nepali,nepppr01,2,3,ppr,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/paisa-ko-pir-gr-201.png
घडी,घडी,EP,2019,grade3,nepali,nepgad01,3,4,gad,Language,Nepali,Contexts,OLE,../ePaath/images/thumb/nepali/Ghadi-Gr-3-01.png
