Araniko Highway	अरणिको राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Araniko_Highway.jpg		image
Awareness Program	सचेतना कार्यक्रम	8SS04.03					7	10	both	Social Studies	Issues	Solutions		Awareness_Program.jpg		image
Birendra with Rajiv Gandhi	राजीव गान्धीसँग विरेन्द्र	8SS09.01					7	9	both	Social Studies	History	Nepal	Famous Persons	Birendra_with_Rajiv_Gandhi.jpg		image
Brunelleschi	ब्रुन्लेस्की	8SS05.08					7	10	both	Social Studies	History	People		Brunelleschi.jpg		image
District Court	जिल्ला अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	District_Court.jpg		image
Earth moves around the Sun	पृथ्वी सूर्यको वरिपरि घुम्छ	8SS07.01	7SS07.01				6	10	both	Science	Astronomy	Solar System	Earth	Earth_moves_around_the_Sun.mp4		video
Embassy of Nepal	नेपाल दूतावास	8SS09.01					6	10	both	Social Studies	Geography	Asia	Nepal	Embassy_of_Nepal.jpg		image
Erasmus	इरामस	8SS05.08					7	10	both	Social Studies	History	People		Erasmus.jpg		image
Ghiberti	गिवर्टी	8SS05.08					7	10	both	Social Studies	History	People		Ghiberti.jpg		image
High Court	उच्च अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	High_Court.jpg		image
Inclusion	समावेशीकरण	8SS03.05					7	10	both	Social Studies	Community	Everyday Life	Cooperation	Inclusion.jpg		image
Mahendra Highway	महेन्द्र राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Mahendra_Highway.jpg		image
Martyrs	सहिदहरू	8SS05.04					6	10	both	Social Studies	History	Nepal	Famous Persons	Martyrs.jpg		image
Ministry of Federal Affairs and Local Development	सङ्घीय मामिला तथा स्थानीय विकास मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Federal_Affairs_and_Local_Development.jpg		image
Ministry of Finance	अर्थ मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Finance.jpg	         	image
Nepal Rastra Bank	नेपाल राष्ट्र बैंक	8SS06.02					6	10	both	Social Studies	Economy	Business	Currency & Money	Nepal_Rastra_Bank.jpg		image
Old Nepali Coins	पुराना नेपाली सिक्काहरू	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Coins.jpg		image
Old Nepali Note	पुरानो नेपाली नोट	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Note.jpg		image
Prime Minister's Office	प्रधानमन्त्रीको कार्यालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Prime_Minister's_Office.jpg		image
Protest	विरोध प्रदर्शन	8SS04.05	7SS04.05				6	10	both	Social Studies	Issues	Conflict		Protest.jpg	        	image
Shahid Gate	सहिद गेट	8SS05.04					6	10	both	Social Studies	History	Nepal	History	Shahid_Gate.jpg		image
Spenser	स्पेन्सर	8SS05.08					7	10	both	Social Studies	History	People		Spenser.jpg		image
Supreme Court of Nepal	नेपालको सर्वोच्च अदालत	8SS03.04	8SS01.04				6	10	both	Social Studies	Community	Social Organization	Laws	Supreme_Court_of_Nepal.jpg		image
The 18th SAARC Summit	१८औँ सार्क शिखर सम्मेलन	8SS07.05					6	10	both	Social Studies	Geography	Asia	Nepal	The_18th_SAARC_Summit.jpg		image
Use of Information	सूचनाको प्रयोग	8SS03.07					6	10	both	Social Studies	Issues	Human Rights	Other Human Rights	Use_of_Information.jpg		image
World Cup 2022 Winner	विश्वकप २०२२ फाइनल विजेता	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_2022_Winner.jpg		image
World Cup Trophy	विश्वकप ट्रफी	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_Trophy.jpg		image
	काठमाडौं उपत्यकाको सभ्यता	8SS05.03					7	9	np	Social Studies	History	Nepal	History	काठमाडौं_उपत्यकाको_सभ्यता.jpg	काठमाडौं_उपत्यकाको_सभ्यता.jpg	image
	किराँत जाति	8SS05.02					7	8	np	Social Studies	Beliefs	Religions	Other Religions	किराँत_जाति.pdf	किराँत_जाति.pdf	pdf
	कूटनीतिक नियोगको परिचय 	8SS09.01					8	9	np	Social Studies	Community	Other Community		कूटनीतिक_नियोगको_परिचय.jpg	कूटनीतिक_नियोगको_परिचय.jpg	image
	गोपाल वंश	8SS05.02					7	8	np	Social Studies	History	Nepal		गोपाल_वंश.pdf	गोपाल_वंश.pdf	pdf
	जलवायु परिवर्तनको असर न्यूनीकरणका उपाय	8SS07.03		       			7	9	np	Science	Earth	Human Impact	Conservation	जलवायु_परिवर्तनको_असर_न्यूनीकरणका_उपाय.jpg	जलवायु_परिवर्तनको_असर_न्यूनीकरणका_उपाय.jpg	image
	डेंगुबाट बच्‍ने उपायहरू	8SS09.05					7	9	np	Science	Medicine	Disease & Injury	Other Disease	डेंगुबाट_बच्‍ने_उपायहरू.jpg	डेंगुबाट_बच्‍ने_उपायहरू.jpg	image
	दाइजो प्रथा न्युनिकरण	8SS04.01					6	10	np	Social Studies	Issues	Other Issues		दाइजो_प्रथा_न्युनिकरण.mp4	दाइजो_प्रथा_न्युनिकरण.mp4	video
	नेपाली राजदूतावास रहेका देशहरू	8SS09.01					8	9	np	Social Studies	Community	Other Community		नेपाली_राजदूतावास_रहेका_देशहरू.jpg	नेपाली_राजदूतावास_रहेका_देशहरू.jpg	image
    	नेपालीहरू वैदेशिक रोजगारीमा जाने कारणहरू	8SS06.05					7	9	np	Social Studies	Issues	Other Issues		नेपालीहरू_वैदेशिक_रोजगारीमा_जाने_कारणहरू.jpg	नेपालीहरू_वैदेशिक_रोजगारीमा_जाने_कारणहरू.jpg	image
	न्यायपालिकाको परिचय र गठन प्रक्रिया	8SS03.04					7	10	np	Social Studies	Community	Social Organization	Laws	न्यायपालिकाको_परिचय_र_गठन_प्रक्रिया.jpg	न्यायपालिकाको_परिचय_र_गठन_प्रक्रिया.jpg	image
	पृथ्वीको अक्षको झुकाव	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth	पृथ्वीको_अक्षको_झुकाव.jpg	पृथ्वीको_अक्षको_झुकाव.jpg	image
	पृथ्वीको दैनिक र वार्षिक गतिका प्रभाव	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth	पृथ्वीको_दैनिक_र_वार्षिक_गतिका_प्रभाव.jpg	पृथ्वीको_दैनिक_र_वार्षिक_गतिका_प्रभाव.jpg	image
	पृथ्वीको परिक्रमण	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth	पृथ्वीको_परिक्रमण.jpg	पृथ्वीको_परिक्रमण.jpg	image
	प्रथम सहिद लखन थापा	8SS05.04					7	9	np	Social Studies	History	Nepal	Famous Persons	प्रथम_सहिद_लखन_थापा.mp4	प्रथम_सहिद_लखन_थापा.mp4	video
	प्राचीन समय र वर्तमान समयको आर्थिक क्रियाकलापबिच तुलना	8SS05.02					7	9	np	Social Studies	Community	Everyday Life	Other Everyday Life	प्राचीन_समय_र_वर्तमान_समयको_आर्थिक_क्रियाकलापबिच_तुलना.jpg	प्राचीन_समय_र_वर्तमान_समयको_आर्थिक_क्रियाकलापबिच_तुलना.jpg	image
	बसाइँसराइका कारक तत्वहरू	8SS08.04					7	9	np	Social Studies	Community	Other Community		बसाइँसराइका_कारक_तत्वहरू.jpg	बसाइँसराइका_कारक_तत्वहरू.jpg	image
	बसाइँसराइले पारेको प्रभाव	8SS08.04					7	9	np	Social Studies	Community	Other Community		बसाइँसराइले_पारेको_प्रभाव.jpg	बसाइँसराइले_पारेको_प्रभाव.jpg	image
	बाल मजदुर	8SS04.01					6	10	np	Social Studies	Issues	Human Rights	Slavery	बाल_मजदुर.mp4	बाल_मजदुर.mp4	video
	बिमस्टेक र सदस्य राष्ट्र	8SS09.02					8	9	np	Social Studies	Geography	Asia		बिमस्टेक_र_सदस्य_राष्ट्र.jpg	बिमस्टेक_र_सदस्य_राष्ट्र.jpg	image
	बिमस्टेकको उ‌द्देश्य	8SS09.02					8	9	np	Social Studies	Geography	Asia		बिमस्टेकको_उ‌द्देश्य.jpg	बिमस्टेकको_उ‌द्देश्य.jpg	image
	बिमस्टेकबाट नेपालले प्राप्त गरेका उपलब्धि	8SS09.02					8	9	np	Social Studies	Geography	Asia		बिमस्टेकबाट_नेपालले_प्राप्त_गरेका_उपलब्धि.jpg	बिमस्टेकबाट_नेपालले_प्राप्त_गरेका_उपलब्धि.jpg	image
	"महिषपाल, गोपाल र किराँत वंशका प्रथम र अन्तिम राजाहरूको नाम"	8SS05.02					7	8	np	Social Studies	History	Nepal	History	महिषपाल_गोपाल_र_किराँत_वंशका_प्रथम_र_अन्तिम_राजाहरूको_नाम.jpg	महिषपाल_गोपाल_र_किराँत_वंशका_प्रथम_र_अन्तिम_राजाहरूको_नाम.jpg	image
	विश्वकप फुटबलको सङ्क्षिप्त इतिहास	8SS09.05					7	9	np	Social Studies	Community	Sports	Football	विश्वकप_फुटबलको_सङ्क्षिप्त_इतिहास.jpg	विश्वकप_फुटबलको_सङ्क्षिप्त_इतिहास.jpg	image
	वैदेशिक रोजगारीका अवसर र चुनौतीहरू	8SS06.05					7	9	np	Social Studies	Issues	Other Issues		वैदेशिक_रोजगारीका_अवसर_र_चुनौतीहरू.jpg	वैदेशिक_रोजगारीका_अवसर_र_चुनौतीहरू.jpg	image
	सकारात्मक भेद	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation	सकारात्मक_भेद.jpg	सकारात्मक_भेद.jpg	image
	समावेशीकरणको परिचय	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation	समावेशीकरणको_परिचय.jpg	समावेशीकरणको_परिचय.jpg	image
	साइबर अपराध विरुद्ध सचेत रहने उपाय	8SS09.04					7	9	np	Social Studies	Issues	Other Issues		साइबर_अपराध_विरुद्ध_सचेत_रहने_उपाय.jpg	साइबर_अपराध_विरुद्ध_सचेत_रहने_उपाय.jpg	image
	साइबर अपराधअन्तर्गत पर्ने क्रियाकलाप	8SS09.04					7	9	np	Social Studies	Issues	Other Issues		साइबर_अपराधअन्तर्गत_पर्ने_क्रियाकलाप.jpg	साइबर_अपराधअन्तर्गत_पर्ने_क्रियाकलाप.jpg	image
	साइबर अपराधका कानुनी व्यवस्था	8SS09.04					7	9	np	Social Studies	Issues	Other Issues		साइबर_अपराधका_कानुनी_व्यवस्था.jpg	साइबर_अपराधका_कानुनी_व्यवस्था.jpg	image
	साइबर अपराधको उजुरी दिने प्रक्रिया	8SS09.04					7	9	np	Social Studies	Issues	Other Issues		साइबर_अपराधको_उजुरी_दिने_प्रक्रिया.jpg	साइबर_अपराधको_उजुरी_दिने_प्रक्रिया.jpg	image
	सुरक्षित वैदेशिक रोजगारीका लागि सुझाव	8SS06.05					7	9	np	Social Studies	Economy	Business	Studies	सुरक्षित_वैदेशिक_रोजगारीका_लागि_सुझाव.jpg	सुरक्षित_वैदेशिक_रोजगारीका_लागि_सुझाव.jpg	image
