dn	ft	fn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	ch_id6	ch_id7	ch_id8	ch_id9	cl_lo	cl_hi	lang	key1	key2	key3	key4	ft	filetype	url	
Area of square and rectangle	mp4	Area_of_square_and_rectangle.mp4	5M12									5	7	en	Mathematics	Measurement	Area		mp4	mp4	Area of square and rectangle | Part 1/3 | English | Class 5	 
Converting Centimeters to Milimeters	mp4	Converting_Centimeters_to_Milimeters.mp4	5M09									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Centimeters to Millimeters	 
Kilogram and Gram to Gram 	mp4	Kilogram_and_Gram_to_Gram.mp4	5M11									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Convert kg and g into g	 
Converting Meters to Centimeters	mp4	Converting_Meters_to_Centimeters.mp4	5M09									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Converting from Compound Unit (Centimeters and Meters)	 
Converting Kilometers to Meters	mp4	Converting_Kilometers_to_Meters.mp4	5M09									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Converting from Compound Unit (Kilometers and Meters)	 
Converting Centimeters to Meters	mp4	Converting_Centimeters_to_Meters.mp4	5M09									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Converting to Compound Unit (Centimeters and Meters)	 
Converting Meters to Kilometers	mp4	Converting_Meters_to_Kilometers.mp4	5M09									5	7	en	Mathematics	Applied Mathematics	Other Applied Math		MP4	mp4	Converting to Compound Units (Kilometers and Meters)	 
Picnic with Family	jpg	Picnic_with_Family.jpeg	5SS01.03									5	8	both	Social Studies	Community	Everyday Life	Recreation	JPG	jpg	"File:Family picnic, Himeji Castle grounds, Himeji, 2016.jpg - Wikimedia Commons"	 
Junk Foods	jpg	Junk_Foods.jpg	4H03									3	8	both	Social Studies	Community	Everyday Life	Food	JPG	jpg	File:Grocery store shelves of junk food.jpg - Wikimedia Commons	 
Road Construction	jpg	Road_Construction.jpg	5SS01.01	5SS01.03								5	8	both	Social Studies	Community	Social Organization	Infrastructure	JPG	jpg	File:PHOTO DU JOUR DU DIMANCHE 26 JANVIER 2020.jpg - Wikimedia Commons	 
Tunnel Farming	jpg	Tunnel_Farming.jpg	5S03									5	8	both	Social Studies	Economy	Agriculture	Farming	JPG	jpg	"Greenhouse In Garden Summer Stock Photo - Download Image Now - Greenhouse, Tunnel, Agriculture - iStock"	 
Convert 10 2 by 7 to an improper fraction	mp4	Convert_10_2_by_7_to_an_improper_fraction.mp4	5M05									5	7	en	Mathematics	Arithmetic	Fractions		MP4	mp4	How to Convert a Mixed Number to an Improper Fraction | 10 and 2/7 | Part 2 of 2 | Minute Math	 
Convert 4 2 by 3 to an improper fraction	mp4	Convert_4_2_by_3_to_an_improper_fraction.mp4	5M05									5	7	en	Mathematics	Arithmetic	Fractions		MP4	mp4	How to Convert a Mixed Number to an Improper Fraction | 4 and 2/3 | Part 1 of 2 | Minute Math	 
Convert 11 by 6 to a mixed number	mp4	Convert_11_by_6_to_a_mixed_number.mp4	5M05									5	7	en	Mathematics	Arithmetic	Fractions		MP4	mp4	How to Convert an Improper Fraction to a Mixed Number | 11/6 | Part 1 of 2 | Minute Math	 
Convert 33 by 8 to a mixed number	mp4	Convert_33_by_8_to_a_mixed_number.mp4	5M05									5	7	en	Mathematics	Arithmetic	Fractions		MP4	mp4	How to Convert an Improper Fraction to a Mixed Numbers | 33/8 | Part 2 of 2 | Minute Math	 
Religious Tolerance	jpg	Religious_Tolerance.jpg	5SS04.01									4	8	both	Social Studies	Issues	Solutions		JPG	jpg	https://cdn.pixabay.com/photo/2020/02/11/09/37/religious-4838911_1280.jpg	 
Quitting Smoking Addiction	jpg	Quitting_Smoking_Addiction.jpg	5SS04.02									5	10	both	Social Studies	Issues	Other Issues	Addiction	JPG	jpg	https://cdn.pixabay.com/photo/2022/06/05/20/26/cigarette-7244843_1280.png	 
Police Investigation	jpg	Police_Investigation.jpg	5SS04.03	5SS04.04								5	10	both	Social Studies	Issues	Solutions		JPG	jpg	https://cdn2.picryl.com/photo/2017/10/17/an-agent-with-coast-guard-investigative-services-checks-6ce339-1024.jpg	 
Cultural Dresses	jpg	Cultural_Dresses.jpeg	5SS04.01									4	10	both	Social Studies	Community	Everyday Life	Clothing	JPG	jpg	https://commons.wikimedia.org/wiki/File:Cultural_Dress_in_Nepal.jpg	 
Dodgeball	jpg	Dodgeball.jpg	4H08	5H08								4	7	both	Social Studies	Community	Sports	Other Sports	JPG	jpg	https://commons.wikimedia.org/wiki/File:Dodgeball.jpg	 
Jaundice	jpg	Jaundice.jpg	4H04									3	7	both	Science	Medicine	Diseases & Injury	Communicable	JPG	jpg	https://commons.wikimedia.org/wiki/File:Jaundice_eye_new.jpg	 
Panche Baaja	jpg	Panche_Baaja.jpg	4H12									4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments	JPG	jpg	https://commons.wikimedia.org/wiki/File:PancheBaaja.jpg	 
Sindhuli Gadhi Present Condition	jpg	Sindhuli_Gadhi_Present_Condition.jpg	5SS05.02									5	8	both	Social Studies	History	Nepal		JPG	jpg	https://commons.wikimedia.org/wiki/File:Sindhuli_Fort_01.jpg	 
Sukkasana	jpg	Sukkasana.jpg	4H09									4	10	both	Social Studies	Community	Sports	Yoga	JPG	jpg	https://commons.wikimedia.org/wiki/File:Sukkasana.jpg	 
Kilogram and Quintal	mov	Kilogram_and_Quintal.mp4	5M11									5	6	en	Mathematics	Measurement	Weight		MOV	mov	https://drive.google.com/file/d/1-Zy5SuHatvzwx08P9MBzxedeCBxXn5a-/view?usp=drive_link	 
Effects of Alcohol Intake	jpg	Effects_of_Alcohol_Intake.jpg	5H04									4	8	en	Science	Medicine	Diseases & Injury	Other Disease	JPG	jpg	https://drive.google.com/file/d/13SRA2dLpHqaoX5WrwrsCVR7sT1hUEqm2/view?usp=drive_link	 
मिलिमिटर र सेन्टिमिटर	mov	मिलिमिटर_र_सेन्टिमिटर.mp4	5M09									5	6	 np	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/17eZ-W_822YDZq1FZOTNANn0xZZYPwaJf/view?usp=drive_link	 
Intrapersonal Communication	jpg	Intrapersonal_Communication.jpg	5S02									4	10	both	Social Studies	Community	Everyday Life	Communication	JPG	jpg	https://drive.google.com/file/d/19bKbK5f_if_PdcplBx9MhvYazMhLErjq/view?usp=drive_link	 
Irregular Past Participle	mov	Irregular_Past_Participle.mp4	6EN05									6	8	en	Language	English	Grammar	Past	MOV	mov	https://drive.google.com/file/d/1a7TzCNP5SS4pCS88dy0swsWPvERDxv7q/view?usp=drive_link	 
मिटर र किलोमिटर	mov	मिटर_र_किलोमिटर.mov	5M09									5	6	 np	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/1acmQI87bkoFE3xp0iPLlJKAT-HxAf_b9/view?usp=share_link	 
3 Layers of Earth	pdf	3_Layers_of_Earth.pdf	5SS07.02									5	8	en	Science	Earth 	Earth History	Other Earth History	PDF	pdf	https://drive.google.com/file/d/1ATjpHRCAbTGv-nT9Z0WfXcmthjjAE4pY/view?usp=share_link	 
Animated Scientific Icons	jpg	Animated_Scientific_Icons.jpg	5S01									5	7	both	Science	Physics	Other Physics 		JPG	jpg	https://drive.google.com/file/d/1B9VKq3MkdmD-_sPvRxvhFDJHUbkh0ckB/view?usp=share_link	 
Interpersonal Communication	jpg	Interpersonal_Communication.jpg	5S02									4	10	both	Social Studies	Community	Everyday Life	Communication	JPG	jpg	https://drive.google.com/file/d/1BXcdPHRDQYtBghjXEthqYSY-TA_SqlDy/view?usp=drive_link	 
Simplification in Mathematical Statements	mov	Simplification_in_Mathematical_Statements.mov	5M04									5	6	en	Mathematics	Arithmetic	Simplification		MOV	mov	https://drive.google.com/file/d/1cRXQvB9o-WS_Sdr82PgoG_PuTQl4lFQE/view?usp=drive_link	 
संयुक्त र एकल परिवार	jpg	संयुक्त_र_एकल_परिवार.jpg	5SS05.04									4	8	 np	Social Studies	Community	Everyday Life	Family	JPG	jpg	https://drive.google.com/file/d/1FUNN8CPpcPoxocJLE2WUDJQDlCYAHuve/view?usp=drive_link	 
खाना र यसको पोषक तत्त्व संरक्षण गर्ने ४ सरल तरिकाहरू	jpg	खाना_र_यसको_पोषक_तत्त्व_संरक्षण_गर्ने_४_सरल_तरिकाहरू.jpg	5H03									4	8	 np	Science	Medicine	Healthy Living	Nutrition	JPG	jpg	https://drive.google.com/file/d/1GketVhZEAAiW8n_6YgKCU1m9l08NYWjH/view?usp=share_link	 
Safety Measures Against Drowning	jpg	Safety_Measures_Against_Drowning.jpg	5H05									4	8	en	Science	Medicine	Healthy Living	Other Healthy Living	JPG	jpg	https://drive.google.com/file/d/1GPc6GQYxOEZv1xdeItCkdyK6_72P17w7/view?usp=share_link	 
Simplification using BODMAS Rule	mov	Simplification_using_BODMAS_Rule.mov	5M04									5	6	en	Mathematics	Arithmetic	Simplification		MOV	mov	https://drive.google.com/file/d/1HG8CGwrTf1eOwecSHMJNLFNWJ1JACmal/view?usp=drive_link	 
ग्राम र किलोग्राम	mov	ग्राम_र_किलोग्राम.mp4	5M11									5	6	 np	Mathematics	Measurement	Weight		MOV	mov	https://drive.google.com/file/d/1iCI-t-wSKvcPqzN_v3aiPneyUc_-ZpUR/view?usp=drive_link	 
4 Easy Ways to Preserve Food and Nutrients	jpg	4_Easy_Ways_to_Preserve_Food_and_Nutritients.jpg	5H03									4	8	en	Science	Medicine	Healthy Living	Nutrition	JPG	jpg	https://drive.google.com/file/d/1ICKzoVQ2F0LERIrWXRKSsVmLNwgcaZfu/view?usp=share_link	 
Meter and Kilometer	mov	Meter_and_Kilometer.mov	5M09									5	6	en	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/1IxEEAX3cbhU7FBLKzguLurTJTudg33zl/view?usp=drive_link	 
Rectangle area problem	jpg	Rectangle_Area_Problem.jpg	5M12									5	8	both	Mathematics	Geometry	Shapes	Rectangle	JPG	jpg	https://drive.google.com/file/d/1JlNt8RZ9vaOxt2IMcOp0MiZ_nxM9nnik/view?usp=drive_link	 
अनलाइन व्यापार	jpg	अनलाइन_व्यापार.jpg	5SS01.04									5	8	 np	Social Studies	Economy	Business	Market	JPG	jpg	https://drive.google.com/file/d/1jWWFPORGvCfB9UEaS4eXjMaQDyK_gCl7/view?usp=share_link	 
Milimeter and Centimeter	mov	Milimeter_and_Centimeter.mov	5M09									5	6	en	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/1kVZbsU9Xlizu5sujYWwLqrjncDLLA_s7/view?usp=drive_link	 
Bartabandha	mp4	Bartabandha.mp4	5SS05.04	5SS01.02								5	8	 np	Social Studies	Community	Everyday Life	Celebrations	MP4	mp4	https://drive.google.com/file/d/1MZjwis0Bj1U-6MKKaSoZiep9ei5kWgAp/view?usp=share_link	 
आधुनिक कृषी यन्त्र	jpg	आधुनिक_कृषी_यन्त्र.jpg	5SS01.04	5SS06.05								5	8	 np	Social Studies	Economy	Agriculture	Other Agriculture	JPG	jpg	https://drive.google.com/file/d/1Nogk_a1CbUXIs-9I34R45tt_MRdHlKgr/view?usp=drive_link	 
किलोग्राम र क्विन्टल	mov	किलोग्राम_र_क्विन्टल.mp4	5M11									5	6	 np	Mathematics	Measurement	Weight		MOV	mov	https://drive.google.com/file/d/1oAAaCUZAnMoamvW-tVhawNXoOpAx3vPt/view?usp=drive_link	 
अनुपयुक्त भिन्न र मिश्रित संख्या	mov	अनुपयुक्त_भिन्न_र_मिश्रित_संख्या.mov	5M05									5	6	 np	Mathematics	Arithmetic	Fractions		MOV	mov	https://drive.google.com/file/d/1Q_HAr4PtGIgLP8LDWPgslslrLXLcz6N7/view?usp=share_link	 
बोडमास नियमको प्रयोग गरी सरलीकरण	mov	बोडमास_नियमको_प्रयोग_गरी_सरलीकरण.mov	5M04									5	6	 np	Mathematics	Arithmetic	Simplification		MOV	mov	https://drive.google.com/file/d/1qDcK1-HCc4P9SCggAlKVAPaBVWZBN4a0/view?usp=drive_link	 
Gram and Kilogram	mov	Gram_and_Kilogram.mp4	5M11									5	6	en	Mathematics	Measurement	Weight		MOV	mov	https://drive.google.com/file/d/1Qj5TTSQYr1HvmRsFg0KAwN9-cK4VBl9b/view?usp=drive_link	 
सडक दुर्घटनाबाट सुरक्षित हुने उपायहरू	jpg	सडक_दुर्घटनाबाट_सुरक्षित_हुने_उपायहरू.jpg	5H05									4	8	 np	Social Studies	Community	Education	Other Education	JPG	jpg	https://drive.google.com/file/d/1Shg-ZoTOFNIDJayNik5jktuT5JftiKAs/view?usp=drive_link	 
Improper Fractions and Mixed Numbers	mov	Improper_Fractions_and_Mixed_Numbers.mov	5M05									5	6	en	Mathematics	Arithmetic	Fractions		MOV	mov	https://drive.google.com/file/d/1tuVaXctMfvJicuTIFPmZy2xx82Wr5mCY/view?usp=share_link	 
Centimeter and Meter	mov	Centimeter_and_Meter.mov	5M09									5	6	en	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/1TY1z4bL2uj_arqUdRn1IskhmdCkSPEsc/view?usp=drive_link	 
मिटर र सेन्टिमिटर	mov	मिटर_र_सेन्टिमिटर.mov	5M09									5	6	 np	Mathematics	Applied Mathematics	Other Applied Math		MOV	mov	https://drive.google.com/file/d/1Vp3M0B7fzMMHVKmypE-6SjOLHLOUewp9/view?usp=share_link	 
Safety Measures to Prevent Road Accidents	jpg	Safety_Measures_to_Prevent_Road_Accidents.jpg	5H05									4	8	en	Social Studies	Community	Education	Other Education	JPG	jpg	https://drive.google.com/file/d/1Vt7b1CiYJ0sniDcFtq8wV_mezjE6xrhn/view?usp=drive_link	 
गणितीय वाक्यमा सरलीकरण	mov	गणितीय_वाक्यमा_सरलीकरण.mov	5M04									5	6	 np	Mathematics	Arithmetic	Simplification		MOV	mov	https://drive.google.com/file/d/1XpvD7Hun64kPYllefQ71lvSoq_LQ4bb1/view?usp=drive_link	 
ट्राफिक संकेतहरू	pdf	ट्राफिक_संकेतहरू.pdf	5SS03.04									5	10	 np	Social Studies	Community	Education	Other Education	PDF	pdf	https://drive.google.com/file/d/1YhMJX7k7MdiwaB8NDPQh-AkAzgqh4kMQ/view?usp=share_link	 
Tourism Industry	jpg	Tourism_Industry.jpeg	5SS06.02									5	10	both	Social Studies	Economy	Tourism		JPG	jpg	https://images.pexels.com/photos/20033282/pexels-photo-20033282/free-photo-of-backpacker-street-in-hanoi.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Kids Playing Traditional Instrument	jpg	Kids_Playing_Traditional_Instrument.jpeg	5SS02.06									4	8	both	Social Studies	Community	Everyday Life	Hobbies	JPG	jpg	https://images.pexels.com/photos/27772451/pexels-photo-27772451/free-photo-of-boys-playing-flutes.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
CCTV Surveillance	jpg	CCTV_Surveillance.jpeg	5SS04.03	5SS03.05								5	10	both	Social Studies	Issues	Solutions		JPG	jpg	https://images.pexels.com/photos/3205737/pexels-photo-3205737.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Helping in the Kitchen	jpg	Helping_in_the_Kitchen.jpeg	5SS02.06	5SS02.07								5	10	both	Social Studies	Community	Everyday Life	Cooperation	JPG	jpg	https://images.pexels.com/photos/3985062/pexels-photo-3985062.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Doing Homework	jpg	Doing_Homework.jpeg	5SS02.06									4	8	both	Social Studies	Community	Education		JPG	jpg	https://images.pexels.com/photos/5303504/pexels-photo-5303504.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Teacher Consulting Students	jpg	Teacher_Consulting_Students.jpeg	5SS03.03			 						5	8	both	Social Studies	Issues	Solutions		JPG	jpg	https://images.pexels.com/photos/6936403/pexels-photo-6936403.jpeg	 
Conflict in School	jpg	Conflict_in_School.jpeg	5SS03.03									5	8	both	Social Studies	Issues	Conflict	Other Conflict	JPG	jpg	https://images.pexels.com/photos/6936471/pexels-photo-6936471.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Kid Playing Guitar	jpg	Kid_Playing_Guitar.jpeg	5SS02.06									4	8	both	Social Studies	Community	Everyday Life	Hobbies	JPG	jpg	https://images.pexels.com/photos/7520939/pexels-photo-7520939.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
