dn	ft	fn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	ch_id6	ch_id7	ch_id8	ch_id9	cl_lo	cl_hi	lang	key1	key2	key3	key4	ft	filetype	url	
Pronunciation Activity Audio	audio		4EN03	6EN18								4	9	en						audio	https://looma.website/audio?fn=5EN04_Audio.m4a&fp=../content/audio/&dn=Pronunciation%20Activity%20Audio	 
Peter and Dorje Conversation Audio	audio		4EN09									4	7	en						audio	https://looma.website/audio?fn=5EN10_Conversation_Audio.m4a&fp=../content/audio/&dn=Peter%20and%20Dorje%20Conversation%20Audio	 
Classroom Song 	audio		5H12									2	5	en	Language	English	Form	Song		audio	https://looma.website/audio?fn=Classroom_Song.mp3&fp=../content/audio/&dn=Classroom%20Song	 
Grade 4 UNIT 2 Listening Text	audio		4EN02											en						audio	https://looma.website/audio?fn=Grade_4_UNIT%202.mp3&fp=../content/audio/Grade%204%20Listening%20Texts/&dn=Grade%204%20UNIT%202%20Listening%20Text	 
2EN Alphabet Puzzle	EP		1EN02.15	1EN02.72	2EN01							1	3	en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engapz01&lang=en&grade=2	 
1EN Consonant Sounds and Letters K-P	EP		1EN02.72											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engbs201&lang=en&grade=1	 
1EN Consonant Sounds and Letters Q-Z	EP		1EN02.72											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engbs301&lang=en&grade=1	 
4EN Conjunctions	EP		4EN11	6EN11										en						epaath	https://looma.website/epaath?epversion=2019&ole=engcon01&lang=en&grade=4	 
4EN Present and Past	EP		4EN10	4EN12	4EN08	4EN11								en						epaath	https://looma.website/epaath?epversion=2019&ole=engden01&lang=en&grade=4	 
2EN Days of the Week	EP		1EN04.79	2EN04.01										en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engdtw01&lang=en&grade=2	 
4EN Giving Directions	EP		4EN09	6EN18										en						epaath	https://looma.website/epaath?epversion=2019&ole=enggid01&lang=en&grade=4	 
1EN Letters A-H	EP		1EN02.25											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engil101&lang=en&grade=1	 
1EN Letters A-H	EP		1EN02.36											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engil101&lang=en&grade=1	 
1EN Letters I-P	EP		1EN02.48	1EN02.47	1EN02.58									en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engils01&lang=en&grade=1	 
1EN Letters Q-Z	EP		1EN02.58	1EN02.71										en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engilt01&lang=en&grade=1	 
1EN Lines and Curves	EP		1M02	1EN01.11	1EN01.12	1EN01.13	1EN01.14					1	1	both	Language	English	Contexts	Writing	EP	epaath	https://looma.website/epaath?epversion=2019&ole=englac01&lang=en&grade=1	 
4EN How Many/ How Much	EP		4EN05	6EN14										en						epaath	https://looma.website/epaath?epversion=2019&ole=englr201&lang=en&grade=4	 
1EN Making Words	EP		1EN02.15	1EN02.72										en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engmkw01&lang=en&grade=1	 
1EN Numbers 1-10	EP		1M04									1	2	both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engnum01&lang=en&grade=1	 
3EN Pronouns	EP		4EN02	4EN11	3EN07.02									en						epaath	https://looma.website/epaath?epversion=2019&ole=engpnn01&lang=en&grade=3	 
3EN Punctuation ? !	EP		4EN04	4EN01	4EN07	4EN13	6EN02	6EN04						en						epaath	https://looma.website/epaath?epversion=2019&ole=engpns01&lang=en&grade=3	 
1EN Recognizing and Matching Shapes	EP		1M03	1EN01.06	1EN01.07	1EN01.08								both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engrms01&lang=en&grade=1	 
4EN Reading Timetable	EP		4EN03											en	Language	English	Contexts	Reading 		epaath	https://looma.website/epaath?epversion=2019&ole=engrtt01&lang=en&grade=4	 
1EN Simple Greetings	EP		4EN01	2EN00.01	3EN00.01							1	4	en						epaath	https://looma.website/epaath?epversion=2019&ole=engsgs01&lang=en&grade=1	 
6EN Superlatives and comparatives	EP		4EN06	6EN09								4	8	en						epaath	https://looma.website/epaath?epversion=2019&ole=engsnc01&lang=en&grade=6	 
1EN Short Vowel Sounds	EP		1EN02.15	1EN02.45	1EN02.59									en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engsvs01&lang=en&grade=1	 
1EN Short Vowel Sounds	EP		1EN02.23											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engsvs01&lang=en&grade=1	 
2EN Who is he/she?	EP		1EN05.82											en					EP	epaath	https://looma.website/epaath?epversion=2019&ole=engwih01&lang=en&grade=2	 
4EN Writing Letters	EP		4EN04	4EN16										en						epaath	https://looma.website/epaath?epversion=2019&ole=engwlt01&lang=en&grade=4	 
1M Basic Addition	EP		1M07	2M05.01	3M05.01									both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=matadt01&lang=en&grade=1	 
1M Basic Subtraction	EP		1M08	2M05.02	3M05.02									both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=matbst01&lang=en&grade=1	 
4M Solid shapes	EP		5M02	4M03										both						epaath	https://looma.website/epaath?epversion=2019&ole=matcub01&lang=en&grade=4	 
3M Division	EP		3M05.04	2M09.02								2	3	both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=matdvi01&lang=en&grade=3	 
5M Fraction	EP		5M05											both						epaath	https://looma.website/epaath?epversion=2019&ole=matfrc01&lang=en&grade=5	 
5M Measurement of angles	EP		5M01											en						epaath	https://looma.website/epaath?epversion=2019&ole=matmoa01&lang=en&grade=5	 
1M Numbers from 1 to 5	EP		1M04									1	1	both	Mathematics	Numbers 	Digits		EP	epaath	https://looma.website/epaath?epversion=2019&ole=matnmb01&lang=en&grade=1	 
2M Place value of three digit numbers	EP		2M04.01	3M02.01										both					EP	epaath	https://looma.website/epaath?epversion=2019&ole=matpvl01&lang=en&grade=2	 
4M Rounding off numbers	EP		5M03											both						epaath	https://looma.website/epaath?epversion=2019&ole=matron01&lang=en&grade=4	 
4S Life Processes	EP		5S05											both						epaath	https://looma.website/epaath?epversion=2019&ole=sciafl01&lang=en&grade=4	 
3S Biogas and compost	EP		5H02	5S03	4H02									both						epaath	https://looma.website/epaath?epversion=2019&ole=scibgc01&lang=en&grade=3	 
3S Clean body	EP		4H01	5H01										both						epaath	https://looma.website/epaath?epversion=2019&ole=sciclb01&lang=en&grade=3	 
3S Clean Environment	EP		4H02											both						epaath	https://looma.website/epaath?epversion=2019&ole=scicle01&lang=en&grade=3	 
5S Menstruation	EP		4H01	5H01								4	7	both						epaath	https://looma.website/epaath?epversion=2019&ole=scicle01&lang=en&grade=5	 
5S Classification of vertebrates	EP		5S04											both						epaath	https://looma.website/epaath?epversion=2019&ole=sciclv01&lang=en&grade=5	 
6S Electrical Circuit	EP		5S07	6S08.02								5	8	both						epaath	https://looma.website/epaath?epversion=2019&ole=sciel301&lang=en&grade=6	 
7S Earth and Universe 	EP		5S08	7S11								7	9	both						epaath	https://looma.website/epaath?epversion=2019&ole=sciert01&lang=en&grade=7	 
5S Human activities and environment	EP		5S03	4S03										both						epaath	https://looma.website/epaath?epversion=2019&ole=scihae01&lang=en&grade=5	 
2S Heat and light	EP		5S03									2	5	both	Science	Technology	Energy Sources			epaath	https://looma.website/epaath?epversion=2019&ole=scihal01&lang=en&grade=2	 
5S Information and communication	EP		5S02	4S02										both						epaath	https://looma.website/epaath?epversion=2019&ole=sciiac01&lang=en&grade=5	 
6S Light	EP		5S07									5	8	both						epaath	https://looma.website/epaath?epversion=2019&ole=scilgt01&lang=en&grade=6	 
5S Life processes of a plant	EP		5S05											both						epaath	https://looma.website/epaath?epversion=2019&ole=scilpp01&lang=en&grade=5	 
7S Animal Life Process	EP		5S05	7S05								5	9	both						epaath	https://looma.website/epaath?epversion=2019&ole=scilps01&lang=en&grade=7	 
4S Matter	EP		5S06											both						epaath	https://looma.website/epaath?epversion=2019&ole=scimat01&lang=en&grade=4	 
5S Monocotyledon and dicotyledon	EP		5S04											both						epaath	https://looma.website/epaath?epversion=2019&ole=scimdi01&lang=en&grade=5	 
6S Mixture	EP		5S06									5	8	both						epaath	https://looma.website/epaath?epversion=2019&ole=scimix01&lang=en&grade=6	 
6S Measurement	EP		5S01									5	6	both						epaath	https://looma.website/epaath?epversion=2019&ole=scimmt01&lang=en&grade=6	 
3S Nutritious food	EP		4H03											both						epaath	https://looma.website/epaath?epversion=2019&ole=sciNfd01&lang=en&grade=3	 
4S Nutritious food	EP		4H03	5H03										both						epaath	https://looma.website/epaath?epversion=2019&ole=scintf01&lang=en&grade=4	 
5S Personal hygiene	EP		4H01									4	6	both						epaath	https://looma.website/epaath?epversion=2019&ole=sciphy01&lang=en&grade=5	 
7S Plant Classification	EP		5S04									5	9	both						epaath	https://looma.website/epaath?epversion=2019&ole=scipnt01&lang=en&grade=7	 
5S Parts of a flower	EP		5S04									5	7	both						epaath	https://looma.website/epaath?epversion=2019&ole=scipof01&lang=en&grade=5	 
5S Parts of a plant	EP		5S04									4	6	both						epaath	https://looma.website/epaath?epversion=2019&ole=scipop01&lang=en&grade=5	 
7S Plant Life Process	EP		5S05	7S05								5	9	both						epaath	https://looma.website/epaath?epversion=2019&ole=scipps01&lang=en&grade=7	 
7S Sound	EP		5S07	6S07.04								5	9	both						epaath	https://looma.website/epaath?epversion=2019&ole=scisnd01&lang=en&grade=7	 
6S Sources of Heat	EP		5S03	6S07.02	6S04							5	8	both						epaath	https://looma.website/epaath?epversion=2019&ole=scisoh01&lang=en&grade=6	 
4S Solar System 	EP		5S08											both						epaath	https://looma.website/epaath?epversion=2019&ole=scisos01&lang=en&grade=4	 
4S Cleanliness	EP		4H01	5H01										both						epaath	https://looma.website/epaath?epversion=2019&ole=scittt01&lang=en&grade=4	 
3EN Animals in my village	EP		3EN10.00											en	Language	English	Grammar	Nouns	EP	epaath	https://looma.website/epaath?epversion=2022&ole=engaiv01&lang=en&grade=3	 
3EN Sentence formation	EP		3EN02.00	3EN02.01										en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engesf01&lang=en&grade=3	 
2EN Faster and Taller	EP		2EN02.00											en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engfat01&lang=en&grade=2	 
3EN Friends and fruits	EP		3EN07.00	3EN07.02										en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engfrf01&lang=en&grade=3	 
3EN May I?	EP		1EN05.81	does not load										en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engpms01&lang=en&grade=3	 
2EN Rain and bow	EP		2EN04.00											en		 			EP	epaath	https://looma.website/epaath?epversion=2022&ole=engrab01&lang=en&grade=2	 
3EN What Raju disliked	EP		3EN01.00	3EN01.03										en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engraj01&lang=en&grade=3	 
1EN Sounds and words	EP		1EN01.01									1	2	en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engsaw01&lang=en&grade=1	 
3EN Simple Messages 	EP		3EN03.00	3EN03.01										en					EP	epaath	https://looma.website/epaath?epversion=2022&ole=engsms01&lang=en&grade=3	 
2M Area	EP		2M06.02	3M08.01								2	3	both	Mathematics	Measurement	Area		EP	epaath	https://looma.website/epaath?epversion=2022&ole=matara01&lang=en&grade=2	 
1M Geometric Shapes	EP		1M03	2M07.01	3M04.03							1	3	both					EP	epaath	https://looma.website/epaath?epversion=2022&ole=matgss01&lang=en&grade=1	 
2M Length	EP		2M06.01											both					EP	epaath	https://looma.website/epaath?epversion=2022&ole=matlen01&lang=en&grade=2	 
2M Currency	EP		2M08.02											both					EP	epaath	https://looma.website/epaath?epversion=2022&ole=matmni01&lang=en&grade=2	 
1M 50 to 100	EP		1M15	2M03.01										both	Mathematics	Numbers	Natural		EP	epaath	https://looma.website/epaath?epversion=2022&ole=matnhd01&lang=en&grade=1	 
1M One to Twenty	EP		1M09	1M13	2M03.01							1	2	both	Mathematics	Numbers 	Digits		EP	epaath	https://looma.website/epaath?epversion=2022&ole=matntw01&lang=en&grade=1	 
1M Even and Odd	EP		1M12	2M04.02								1	2	both	Mathematics	Numbers	Even & Odd		EP	epaath	https://looma.website/epaath?epversion=2022&ole=matone01&lang=en&grade=1	 
3M Place value	EP		5M03	4M04	3M02.01							3	5	both						epaath	https://looma.website/epaath?epversion=2022&ole=matpvs01&lang=en&grade=3	 
1M Time	EP		2M02.01	1M19								1	3	both					EP	epaath	https://looma.website/epaath?epversion=2022&ole=mattme01&lang=en&grade=1	 
2M Word problems (Mathematical Basic operations)	EP		2M05.01	2M05.02	2M09.01	2M09.02	3M05.01	3M05.02	3M05.03	3M05.04	4M05	2	4	both					EP	epaath	https://looma.website/epaath?epversion=2022&ole=matwop01&lang=en&grade=2	 
Parallelogram 1	game		5M01									5	10	en	Mathematics	Geometry	Shapes	Parallelogram		game	https://looma.website/game?id=5f1b7faf7de77e7d34b20f04&class=class5&subject=math&type=matching	 
4M04.04 Unit Price	game		5M13									4	8	en	Mathematics	Measurement	Units			game	https://looma.website/game?id=60a036bfb2af6b6845eececf&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Order of Operations	game		5M04									5	10	en	Mathematics	Arithmetic	Order of Operations			game	https://looma.website/game?id=60d25f284ace6902dd7461ae&class=class5&subject=math&type=multiple%20choice	 
Short 'a' words	game		1EN02.15		1EN02.25									en					Other	game	https://looma.website/game?id=60eb76f80fce0528126ba68f&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'a' and 'o' words	game		1EN02.15	1EN02.16	1EN02.25	1EN02.45	1EN02.47							en				 	Other	game	https://looma.website/game?id=60eb773a0fce0528126ba691&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'a' words (with pictures)	game		1EN02.15	1EN02.16	1EN02.25									en					Other	game	https://looma.website/game?id=60edebad272722239d29469c&class=undefined&subject=undefined&ch_id=null&type=undefined	 
