RS3828_Grade_9_Animal_Health_I.pdf	Animal Health - I	6V11.01, 7V11.01, 8V01.03, 8V11.01
RS3829_Grade_9_Animal_Nutrition_and_Fodder_Production.pdf	Animal Nutrition and Fodder Production	6V11.01, 7V11.01, 8V11.01
RS3792_Grade_9_Basic_Electronics.pdf	Basic Electronics	
RS3783_Grade_9_C_Programming.pdf	C Programming	10CS04.01
RS3803_Grade_9_Computer_Application.pdf	Computer Application	10CS01.01
RS3761_Grade_10_Animal_Health_II.pdf	Animal Health - II	6V11.01, 7V11.01, 8V01.03, 8V11.01
RS3838_Grade_10_Aquaculture_and_Fisheries.pdf	Aquaculture and Fisheries	6V11.05, 7V11.05, 8V11.05
RS3854_Grade_10_Building_Construction.pdf	Building Construction	6V01.07
RS3861_Grade_10_Computer_Networks.pdf	Computer Networking	10CS01.01
RS3762_Grade_11_Applied_Animal_Nutrition.pdf	Applied Animal Nutrition	6V11.01, 7V11.01, 8V11.01
RS3774_Grade_11_Commercial_Fruit_Production_and_Orchard_Management.pdf	Commercial Fruit Production and Orchard Management	6V08.01, 7V08.01, 7V08.03, 7V08.08, 8V08.04
RS3763_Grade_11_Commercial_Goat_Farming_practical_materials.pdf	Commercial Goat Farming; Practical Material	8V11.01, 7V11.01, 8V11.01, 8V11.02
RS3764_Grade_11_Commercial_Goat_Farming_Resource_Material.pdf	Commercial Goat Farming: Resource Material	7V11.01, 8V11.01, 8V11.02
RS3766_Grade_11_Commercial_Poultry_Farming.pdf	Commercial Poultry Farming	6V11.03, 7V11.03, 8V11.06
RS3770_Grade_12_Animal_Science_Practical_Book.pdf	Animal Science_Practical Book	8V01.03
RS3779_Grade_12_Commercial_Mushroom_Production_and_Marketing.pdf	Mushroom Production and Marketing	8V07.03
RS3780_Grade_12_Commercial_Vegetable_Production_and_Marketing.pdf	Vegetable Production and Marketing	7V07.01, 8V07.01, 8V07.06
RS3790_Grade_12_Computer_Engineering_Practical_Book.pdf	Computer Engineering_Practical Book	10CS01.05
RS3789_Grade_12_Data_Communication_and_Computer_Network.pdf	Data Communication	10CS01.01
