1      Languages
1.1       English
1.1.1      Contexts
1.1.1.1     Checking
1.1.1.2     Comparing
1.1.1.3     Locations
1.1.1.4     Narration
1.1.1.5     People
1.1.1.6     Possessions
1.1.1.7     Quantities
1.1.1.8     Reasons
1.1.1.9     Requests
1.1.1.10  Suggestions
1.1.1.11  Time & Date
1.1.1.12  Wants
1.1.2      Grammar
1.1.2.1     Future
1.1.2.2     Past
1.1.2.3     Perfect
1.1.3      Other English
1.1.4      Spoken
1.1.5      Textbooks
1.1.6      Vocabulary
1.1.7      Words
1.1.8      People
1.2       Linguistics
1.2.1      Alphabet
1.2.2      Consonant
1.2.3      Language groups
1.2.4      Vowel
1.2.5      Writing
1.2.6      People
1.3       Nepali
1.3.1      Contexts
1.3.1.1     Comparing
1.3.1.2     Locations
1.3.1.3     Narration
1.3.1.4     People
1.3.1.5     Possessions
1.3.1.6     Quantities
1.3.1.7     Reasons
1.3.1.8     Requests
1.3.1.9     Suggestions
1.3.1.10  Time
1.3.1.11  Wants
1.3.2      Grammar
1.3.2.1     Future
1.3.2.2     Past
1.3.2.3     Perfect
1.3.3      Other Nepali
1.3.4      Spoken
1.3.5      Textbooks
1.3.6      Vocabulary
1.3.7      People
1.4       Other Languages
1.4.1      Arabic
1.4.2      Chinese
1.4.3      French
1.4.4      German
1.4.5      Hebrew
1.4.6      Hindi
1.4.7      Japanese
1.4.8      Other Languages
1.4.9      Russian
1.4.10   People
2       Mathematics
2.1       Algebra
2.1.1      Equations
2.1.2      Exponents
2.1.3      Linear
2.1.4      Logarithms
2.1.5      Logic
2.1.6      Other Algebra
2.1.7      People
2.1.7.1     Muhammad ibn Musa al-Khwarizmi
2.2       Applied Mathematics
2.2.1      Boolean logic
2.2.2      Engineering
2.2.3      Game theory
2.2.4      Group
2.2.5      Other Applied Math
2.2.6      Probability theory
2.2.7      Statistics
2.2.8      Technology
2.2.9      People
2.3       Arithmetic
2.3.1      Addition - subtraction
2.3.2      Decimals
2.3.3      Exponents
2.3.4      Factors - multiples
2.3.5      Fractions
2.3.6      Multiplication - division
2.3.7      Order of operations
2.3.8      Other Arithmetic
2.3.9      Percent
2.3.10   Rates and ratios
2.3.11   People
2.4       Calculus
2.4.1      Differential equation
2.4.2      People
2.5       Geometry
2.5.1      Conic sections
2.5.2      Coordinate Grids
2.5.3      Euclidian
2.5.4      Fractals
2.5.5      Other Geometry
2.5.5.1     Polar coordinates
2.5.5.2     Sphere
2.5.5.3     Topology
