class,subject,prefix,lang,fn,nfn,dn,ndn,fp
class10,social studies,10SS,ne,,Social_10_Nepali_0039.pdf,,कक्षा 10 सामाजिक शिक्षा,
class4,health,4H,en/ne,Health_4_0028.pdf,Health_4_Nepali_9990.pdf,Grade 4 Health,कक्षा 4 स्वास्थ्य,textbooks/Class4/Health/
class5,math,5M,en/ne,Math_5_0033.pdf,Math_5_Nepali_0003.pdf,Grade 5 Math,कक्षा 5  गणित,textbooks/Class5/Math/
class5,science,5S,en/ne,Science_5_0035.pdf,Science_5_Nepali_0004.pdf,Grade 5 Science,कक्षा 5 बिज्ञान,textbooks/Class5/Science/
class6,health,6H,en/ne,Health_6_0029.pdf,Health_6_Nepali_0030.pdf,Grade 6 Health,कक्षा 6 स्वास्थ्य,textbooks/Class6/Health
class6,science,6S,en/ne,Science_6_0036.pdf,Science_6_Nepali_9589.pdf,Grade 6 Science,कक्षा 6 बिज्ञान,textbooks/Class6/Science/
class7,health,7H,en/ne,Health_7_0031.pdf,Health_7_Nepali_9978.pdf,Grade 7 Health,कक्षा 7 स्वास्थ्य,textbooks/Class7/Health/
class7,math,7M,en/ne,Math_7_0034.pdr,Math_7_Nepali_9979.pdf,Grade  7 Math,कक्षा 7  गणित,textbooks/Class7/Math/
class7,science,7S,en/ne,Science_7_0037.pdf,Science_7_Nepali_9981.pdf,Grade 7 Science,कक्षा 7 बिज्ञान,textbooks/Class7/Science/
class8,health,8H,en/ne,Health_8_0014.pdf,Health_8_Nepali_0032.pdf,Grade 8 Health,कक्षा 8 स्वास्थ्य,textbooks/Class8/Health/
class9,science,9S,en/ne,Science_9_0038.pdf,Science_9_Nepali_9986.pdf,Grade 9 Science,कक्षा 9 बिज्ञान,textbooks/Class9/Science/
