cl_lo	cl_hi	ch_id	nch_id	key1	key2	key3	key4	lang	src	ft	fn	nfn	dn	ndn	fp
2	2	2EN01.01		Language	English	Contexts	Narration	en	CEHRD	mp4	1. Class 2 _ English _ Lesson 1 _ Birendra's Family _ Me and My Family.mp4		C2 U1 L1A Birendra's Family		../content/CEHRD/Class2/English/
2	2	2EN01.01		Language	English	Contexts	Narration	en	CEHRD	mp4	2. Class 2 _ English _ Lesson 1 _ Birendra's Family  _ Me and My Family.mp4		C2 U1 L1B Birendra's Family		../content/CEHRD/Class2/English/
2	2	2EN01.01		Language	English	Contexts	Narration	en	CEHRD	mp4	3. Class 2 _ English _ Lesson 1 _ Birendra's Family _ Me and My Family.mp4		C2 U1 L1C Birendra's Family		../content/CEHRD/Class2/English/
2	2	2EN01.02		Language	English	Contexts	Narration	en	CEHRD	mp4	4. Class 2 _ English _ Lesson 1 _ I Love My Family _ Me and My Family.mp4		C2 U1 L2A I Love My Family		../content/CEHRD/Class2/English/
2	2	2EN01.02		Language	English	Contexts	Narration	en	CEHRD	mp4	5. Class 2_ English_ Lesson 2_ Topic I Love My Family_   Me and My Family.mp4		C2 U1 L2B I Love My Family		../content/CEHRD/Class2/English/
2	2	2EN01.02		Language	English	Contexts	Narration	en	CEHRD	mp4	6. Class 2 _ English _ Lesson 2 _ Topic I Love My Family _   Me and My Family.mp4		C2 U1 L2C I Love My Family		../content/CEHRD/Class2/English/
2	2	2EN01.03		Language	English	Contexts	Narration	en	CEHRD	mp4	7. Class 2_ English_ Me and My Family_ Lesson 3_ Uncle Shiva's Family.mp4		C2 U1 L3A Uncle Shiva's Family		../content/CEHRD/Class2/English/
2	2	2EN01.03		Language	English	Contexts	Narration	en	CEHRD	mp4	8. Class 2_ English_ Me and My Family_ Lesson 3_ Uncle Shiva's Family.mp4		C2 U1 L3B Uncle Shiva's Family		../content/CEHRD/Class2/English/
2	2	2EN01.03		Language	English	Contexts	Narration	en	CEHRD	mp4	9. Class 2 _ English _ Me and My Family _ Lesson 3 _ Uncle Shiva's Family.mp4		C2 U1 L3C Uncle Shiva's Family		../content/CEHRD/Class2/English/
2	2	2EN01.04		Language	English	Contexts	Identity	en	CEHRD	mp4	10. Class 2 _ English _ Me and My Family _ Lesson 4 _ It's Me.mp4		C2 U1 L4A It's Me		../content/CEHRD/Class2/English/
2	2	2EN01.04		Language	English	Contexts	Identity	en	CEHRD	mp4	11. Class 2 _ English _ Me and My Family _ Lesson 4 _ It's Me.mp4		C2 U1 L4B It's Me		../content/CEHRD/Class2/English/
2	2	2EN01.04		Language	English	Contexts	Identity	en	CEHRD	mp4	12. Class 2 _ English _ Me and My Family _ Lesson 4 _ It's Me.mp4		C2 U1 L4C It's Me		../content/CEHRD/Class2/English/
2	2	2EN01.05		Language	English	Contexts	Describing	en	CEHRD	mp4	13. Class 2 _ English _ Me and My Family _ Lesson 5 _ My Body.mp4		C2 U1 L5A My Body		../content/CEHRD/Class2/English/
2	2	2EN01.06		Language	English	Contexts	Describing	en	CEHRD	mp4	14. Class 2 _ English _ Me and My Family _ Lesson 5 _ My Body.mp4		C2 U1 L5B My Body		../content/CEHRD/Class2/English/
2	2		2M02.01	Mathematics	Arithmetic	Addition & Subtraction		np	CEHRD	mp4		१. कक्षा २ _ गणित _ मेरो दैनिक जीवन _ पाठ २ _ समय.mp4		क२ ए२ पा२क समय	../content/CEHRD/Class2/Math/
2	2		2M02.01	Mathematics	Arithmetic	Addition & Subtraction		np	CEHRD	mp4		२. कक्षा २ _ गणित _ मेरो दैनिक जीवन _ पाठ २ _ समय.mp4		क२ ए२ पा२ख समय	../content/CEHRD/Class2/Math/
2	2		2M03.01	Mathematics	Numbers	Other Numbers		np	CEHRD	mp4		३. कक्षा २ _ गणित _ सङ्ख्याको ज्ञान _ पाठ ३ _ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू.mp4		क२ ए३ पा३ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू - १ देखि ३० सम्मका सङ्ख्याहरू	../content/CEHRD/Class2/Math/
2	2		2M03.01	Mathematics	Numbers	Other Numbers		np	CEHRD	mp4		४. कक्षा २ _ गणित सङ्ख्याको ज्ञान _ पाठ ३ _ १००० सम्मका सङ्ख्याहरू ३१ देखि ५० सम्मका सङ्ख्याहरू.mp4		क२ ए३ पा३ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू - ३१ देखि ५० सम्मका सङ्ख्याहरू	../content/CEHRD/Class2/Math/
2	2		2M03.01	Mathematics	Numbers	Other Numbers		np	CEHRD	mp4		६. कक्षा २_ गणित_ सङ्ख्याको ज्ञान_ पाठ ३_ १००० सम्मका सङ्ख्याहरू_ ७६ देखि १०० सम्मका सङ्ख्याहरू.mp4		क२ ए३ पा३ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू - ७६ देखि १०० सम्मका सङ्ख्याहरू	../content/CEHRD/Class2/Math/
2	2		2M03.01	Mathematics	Numbers	Other Numbers		np	CEHRD	mp4		७. कक्षा २_ गणित_ सङ्ख्याको ज्ञान_ पाठ ३_ १ देखि ५० सम्मका हिन्दु अरेबिक संख्याहरू.mp4		क२ ए३ पा३ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू - १ देखि ५० सम्मका हिन्दु अरेबिक संख्याहरू	../content/CEHRD/Class2/Math/
