ndn	ch_id	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	ft	fp	src
कक्षा ४ सुनाइ पाठ १	4N01	4	4	np	Language	Nepali	Contexts	Other	कक्षा_४_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ २	4N02	4	4	np	Language	Nepali	Contexts	Describing	कक्षा_४_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ३	4N03	4	4	np	Language	Nepali	Contexts	Describing	कक्षा_४_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ४	4N04	4	4	np	Language	Nepali	Contexts	Greeting	कक्षा_४_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ५	4N05	4	4	np	Language	Nepali	Contexts	Activities	कक्षा_४_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ६	4N06	4	4	np	Language	Nepali	Contexts	Suggestions	कक्षा_४_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ७	4N07	4	4	np	Language	Nepali	Contexts	People	कक्षा_४_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ८	4N08	4	4	np	Language	Nepali	Contexts	Activities	कक्षा_४_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ९	4N09	4	4	np	Language	Nepali	Contexts	Review	कक्षा_४_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ १०	4N10	4	4	np	Language	Nepali	Contexts	Locations	कक्षा_४_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ ११	4N11	4	4	np	Language	Nepali	Contexts	Locations	कक्षा_४_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ १२	4N12	4	4	np	Language	Nepali	Contexts	Other	कक्षा_४_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
कक्षा ४ सुनाइ पाठ १३	4N13	4	4	np	Language	Nepali	Contexts	Locations	कक्षा_४_सुनाइ_पाठ_१३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 4 Listening Texts/	CEHRD
