ch_id.string(),ndn.string(),dn.string(),pn.int32(),len.int32(),type.string(),ft.string(),fn.string(),fp.string()
5EN01,,Meeting People,5,12,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN02,,Possession,17,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN03,,Getting Information,31,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN04,,Requesting and Apologising,45,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN05,,Thanking and Congratulating,59,16,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN06,,Talking about Quantity,75,12,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN07,,Making Comparisons,87,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN08,,Describing Locations,101,13,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN09,,Facts and Truths,114,13,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN10,,Instructions and Directions,127,11,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN11,,Narrating Past Events,138,15,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN12,,Giving Reasons,153,15,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN13,,People and Places,168,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN14,,Our Likes and Dislikes,182,13,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN15,,Expressing Ability,195,13,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN16,,Agreeing and Disagreeing,208,12,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
5EN17,,Future Plans,220,14,TG,pdf,5EN_Teacher_Guide_(English).pdf,../content/Teacher Tools/CDC Teacher Guides/Grade 5 Teacher Guides/
