cl_lo	cl_hi	ch_id	nch_id	key1	key2	key3	key4	lang	src	ft	fn	nfn	dn	ndn	fp
2	2		2M03.01	Mathematics	Numbers	Other Numbers		np	CEHRD	mp4		६. कक्षा २_ गणित_ सङ्ख्याको ज्ञान_ पाठ ३_ १००० सम्मका सङ्ख्याहरू_ ७६ देखि १०० सम्मका सङ्ख्या.mp4		क२ ए३ पा३ १००० सम्मका सङ्ख्याहरू १ देखि ३० सम्मका सङ्ख्याहरू - ७६ देखि १०० सम्मका सङ्ख्याहरू	../content/CEHRD/Class2/Math/
6	6		6SS02.05	Social Studies	Community	Everyday Life	Diversity	np	CEHRD	mp4		११. कक्षा ६_ सामाजिक_ एकाइ २_ हाम्रा मानवमूल्य मान्यता_ पाठ ५_ हाम्रा धार्मिक तथा सांस्कृतिक.mp4		क६ ए२ पा५ हाम्रा धार्मिक तथा सांस्कृतिक सम्पदा	../content/CEHRD/Class6/Socialstudies/
6	6		6H01	Science	Medicine	Human Body		np	CEHRD	mp4		१. कक्षा ६ _ स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला _ एकाइ १ _ मानव शरीर _ हाम्रा ज्ञानेन्द्रीय.mp4		क६ ए१क  मानव शरीर - हाम्रा ज्ञानेन्द्रीयहरू	../content/CEHRD/Class6/Health/
6	6		6H01	Science	Medicine	Human Body		np	CEHRD	mp4		२. कक्षा ६ _ स्वास्थ्य शारीरिक तथा सिर्जनात्मक कला _ एकाइ १ _ मानव शरीर _ हाम्रा ज्ञानेन्द्रीय.mp4		क६ ए१ख  मानव शरीर - हाम्रा ज्ञानेन्द्रीयहरू	../content/CEHRD/Class6/Health/
6	6		6H01	Science	Medicine	Human Body		np	CEHRD	mp4		५. कक्षा ६ _ स्वास्थ्य, शारीरिक _ एकाइ १_मानव शरीर_ अस्थिपन्जर र मांसपेशी प्रणालीबिचको.mp4		क६ ए१ मानव शरीर - अस्थिपन्जर र मांसपेशी प्रणालीबिचको अन्तरसम्बन्ध	../content/CEHRD/Class6/Health/
6	6		6H02	Social Studies	Community	Psychology		np	CEHRD	mp4		९. कक्षा ६_ स्वास्थ्य_ एकाइ २_ सामुदायिक तथा मानसिक स्वास्थ्य_ विज्ञापनले स्वास्थ्यमा पार्ने.mp4		क६ ए२ सामुदायिक स्वास्थ्य तथा मानसिक स्वास्थ्य - विज्ञापनले स्वास्थ्यमा पार्ने प्रभाव	../content/CEHRD/Class6/Health/
6	6		6H02	Social Studies	Community	Psychology		np	CEHRD	mp4		१०.कक्षा ६_ स्वास्थ्य_ एकाइ २_ सामुदायिक, मानसिक स्वास्थ्य_ वातावरण प्रदूषणले स्वास्थमा.mp4		क६ ए२ सामुदायिक स्वास्थ्य तथा मानसिक स्वास्थ्य - वातावरण प्रदूषणले स्वास्थमा पर्ने प्रभाव	../content/CEHRD/Class6/Health/
								np	CEHRD	mp4	CEHRD Learning Portal tutorial.mp4		CEHRD Learning Portal tutorial		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Book category.mp4		Video showing CEHRD learning portal - Book category		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Calculator.mp4		Video showing CEHRD learning portal - Calculator		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Dictionary.mp4		Video showing CEHRD learning portal - Dictionary		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Epaath.mp4		Video showing CEHRD learning portal - Epaath		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Floating buttons.mp4		Video showing CEHRD learning portal - Floating buttons		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Games.mp4		Video showing CEHRD learning portal - Games		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Homepage.mp4		Video showing CEHRD learning portal - Homepage		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Lesson plan.mp4		Video showing CEHRD learning portal - Lesson plan		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - NCED virtual classes.mp4		Video showing CEHRD learning portal - NCED virtual classes		../content/Looma User Manuals/videotips/
									CEHRD	mp4	Video showing CEHRD learning portal - Video category.mp4		Video showing CEHRD learning portal - Video category		../content/Looma User Manuals/videotips/
									
