_id	pn	len	ft	dn	key1	key2	key3	key4
1EN01.00	9	0	section	Me and My Family	Language	English	Grammar	Vocabulary
1EN01.01	9	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.02	11	2	chapter	Listen and practise	Language	English	Grammar	Vocabulary
1EN01.03	13	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.04	15	2	chapter	Listen and act	Language	English	Grammar	Vocabulary
1EN01.05	17	2	chapter	Look and say	Language	English	Grammar	Vocabulary
1EN01.06	19	2	chapter	Look and say	Language	English	Grammar	Vocabulary
1EN01.07	21	2	chapter	Listen and act	Language	English	Grammar	Vocabulary
1EN01.08	23	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.09	25	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.10	27	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.11	29	2	chapter	Listen and say	Language	English	Grammar	Vocabulary
1EN01.12	31	2	chapter	Listen and act	Language	English	Grammar	Vocabulary
1EN01.13	33	2	chapter	Listen and act	Language	English	Grammar	Vocabulary
1EN01.14	35	2	chapter	Listen and act	Language	English	Grammar	Vocabulary
1EN01.15	37	2	chapter	Assess yourself 1	Language	English	Contexts	Review
1EN02.00	39	0	section	Alphabet	Language	English	Grammar	Alphabet
1EN02.15	39	2	chapter	Aa	Language	English	Grammar	Alphabet
1EN02.16	41	2	chapter	Aa	Language	English	Grammar	Alphabet
1EN02.17	43	2	chapter	Bb	Language	English	Grammar	Alphabet
1EN02.18	45	2	chapter	Bb	Language	English	Grammar	Alphabet
1EN02.19	47	2	chapter	Cc	Language	English	Grammar	Alphabet
1EN02.20	49	2	chapter	Cc	Language	English	Grammar	Alphabet
1EN02.21	51	2	chapter	Dd	Language	English	Grammar	Alphabet
1EN02.22	53	2	chapter	Dd	Language	English	Grammar	Alphabet
1EN02.23	55	2	chapter	Ee	Language	English	Grammar	Alphabet
1EN02.24	57	2	chapter	Ee	Language	English	Grammar	Alphabet
1EN02.25	59	2	chapter	Aa-Ee	Language	English	Grammar	Alphabet
1EN02.26	61	2	chapter	Ff	Language	English	Grammar	Alphabet
1EN02.27	63	2	chapter	Ff	Language	English	Grammar	Alphabet
1EN02.28	65	2	chapter	Gg	Language	English	Grammar	Alphabet
1EN02.29	67	2	chapter	Gg	Language	English	Grammar	Alphabet
1EN02.30	69	2	chapter	Hh	Language	English	Grammar	Alphabet
1EN02.31	71	2	chapter	Hh	Language	English	Grammar	Alphabet
1EN02.32	73	2	chapter	Ii	Language	English	Grammar	Alphabet
1EN02.33	75	2	chapter	Ii	Language	English	Grammar	Alphabet
1EN02.34	77	2	chapter	Jj	Language	English	Grammar	Alphabet
1EN02.35	79	2	chapter	Jj	Language	English	Grammar	Alphabet
1EN02.36	81	2	chapter	Ff-Jj	Language	English	Grammar	Alphabet
1EN02.37	83	2	chapter	Kk	Language	English	Grammar	Alphabet
1EN02.38	85	2	chapter	Kk	Language	English	Grammar	Alphabet
1EN02.39	87	2	chapter	Ll	Language	English	Grammar	Alphabet
1EN02.40	89	2	chapter	Ll	Language	English	Grammar	Alphabet
1EN02.41	91	2	chapter	Mm	Language	English	Grammar	Alphabet
1EN02.42	93	2	chapter	Mm	Language	English	Grammar	Alphabet
1EN02.43	95	2	chapter	Nn	Language	English	Grammar	Alphabet
1EN02.44	97	2	chapter	Nn	Language	English	Grammar	Alphabet
1EN02.45	99	2	chapter	Oo	Language	English	Grammar	Alphabet
1EN02.46	101	2	chapter	Oo	Language	English	Grammar	Alphabet
1EN02.47	103	2	chapter	Kk-Oo	Language	English	Grammar	Alphabet
1EN02.48	105	2	chapter	Pp	Language	English	Grammar	Alphabet
1EN02.49	107	2	chapter	Pp	Language	English	Grammar	Alphabet
1EN02.50	109	2	chapter	Qq	Language	English	Grammar	Alphabet
1EN02.51	111	2	chapter	Qq	Language	English	Grammar	Alphabet
1EN02.52	113	2	chapter	Rr	Language	English	Grammar	Alphabet
1EN02.53	115	2	chapter	Rr	Language	English	Grammar	Alphabet
1EN02.54	117	2	chapter	Ss	Language	English	Grammar	Alphabet
1EN02.55	119	2	chapter	Ss	Language	English	Grammar	Alphabet
1EN02.56	121	2	chapter	Tt	Language	English	Grammar	Alphabet
1EN02.57	123	2	chapter	Tt	Language	English	Grammar	Alphabet
1EN02.58	125	2	chapter	Pp-Tt	Language	English	Grammar	Alphabet
1EN02.59	127	2	chapter	Uu	Language	English	Grammar	Alphabet
1EN02.60	129	2	chapter	Uu	Language	English	Grammar	Alphabet
1EN02.61	131	2	chapter	Vv	Language	English	Grammar	Alphabet
1EN02.62	133	2	chapter	Vv	Language	English	Grammar	Alphabet
1EN02.63	135	2	chapter	Ww	Language	English	Grammar	Alphabet
1EN02.64	137	2	chapter	Ww	Language	English	Grammar	Alphabet
1EN02.65	139	2	chapter	Xx	Language	English	Grammar	Alphabet
1EN02.66	141	2	chapter	Xx	Language	English	Grammar	Alphabet
1EN02.67	143	2	chapter	Yy	Language	English	Grammar	Alphabet
1EN02.68	145	2	chapter	Yy	Language	English	Grammar	Alphabet
1EN02.69	147	2	chapter	Zz	Language	English	Grammar	Alphabet
1EN02.70	149	2	chapter	Zz	Language	English	Grammar	Alphabet
1EN02.71	151	2	chapter	Uu-Zz	Language	English	Grammar	Alphabet
1EN02.72	153	2	chapter	Aa-Zz	Language	English	Grammar	Alphabet
1EN02.73	155	2	chapter	Assess yourself 2	Language	English	Contexts	Review
1EN03.00	157	0	section	Me and My Family	Language	English	Contexts	Describing
1EN03.73	157	2	chapter	Head and Shoulders	Language	English	Contexts	Describing
1EN03.74	159	2	chapter	I See with My Eyes	Language	English	Contexts	Describing
1EN04.00	161	0	section	My Daily Life	Language	English	Contexts	Describing
1EN04.75	161	2	chapter	Brush Your Teeth	Language	English	Contexts	Review
1EN04.76	163	2	chapter	I Can Jump	Language	English	Contexts	Describing
1EN04.77	165	2	chapter	I'm Happy	Language	English	Contexts	Describing
1EN04.78	167	2	chapter	It's Seven O'clock	Language	English	Contexts	Time and Date
1EN04.79	169	2	chapter	Seven Days	Language	English	Contexts	Time and Date
1EN04.80	171	2	chapter	Assess yourself 3	Language	English	Contexts	Review
1EN05.00	173	0	section	My School	Language	English	Contexts	Describing
1EN05.80	173	2	chapter	Come Here	Language	English	Contexts	Requests and Commands
1EN05.81	175	2	chapter	May I …?	Language	English	Contexts	Review
1EN05.82	177	2	chapter	I'm Pawan	Language	English	Contexts	Identity
1EN05.83	179	2	chapter	Things in the Classroom	Language	English	Contexts	Describing
1EN05.84	181	2	chapter	Let's Play	Language	English	Contexts	Requests and Commands
1EN05.85	183	2	chapter	Assess yourself 4	Language	English	Contexts	Review
1EN06.00	185	0	section	Our Environment	Language	English	Contexts	Describing
1EN06.85	185	2	chapter	On the Table	Language	English	Contexts	Describing
1EN06.86	187	2	chapter	The Rainbow	Language	English	Contexts	Describing
1EN06.87	189	2	chapter	Red Rose	Language	English	Contexts	Describing
1EN06.88	191	2	chapter	This Is a Bag	Language	English	Contexts	Describing
1EN06.89	193	2	chapter	Assess yourself 5	Language	English	Contexts	Review
1EN07.00	195	0	section	My Belongings	Language	English	Contexts	Describing
1EN07.89	195	2	chapter	In the Bag	Language	English	Contexts	Location
1EN07.90	197	2	chapter	Under the Table	Language	English	Contexts	Location
1EN07.91	199	2	chapter	Things at Home	Language	English	Contexts	Possessions
1EN07.92	201	2	chapter	Where Are My Socks?	Language	English	Contexts	Location
1EN07.93	203	2	chapter	Assess yourself 6	Language	English	Contexts	Review
1EN08.00	205	0	section	Our Culture	Language	English	Contexts	Describing
1EN08.93	205	2	chapter	Dashain	Language	English	Contexts	Describing
1EN08.94	207	2	chapter	Birthday	Language	English	Contexts	Describing
1EN08.95	209	2	chapter	Assess yourself 7	Language	English	Contexts	Review
1EN09.00	211	0	section	"Communication, Technology and Market"	Language	English	Contexts	Describing
1EN09.95	211	2	chapter	Ramu is a Farmer	Language	English	Contexts	Describing
1EN09.96	213	2	chapter	Rice and Curry	Language	English	Contexts	Describing
1EN09.97	215	2	chapter	Vehicles	Language	English	Contexts	Describing
1EN09.98	217	2	chapter	Assess yourself 8	Language	English	Contexts	Review
1EN10.00	219	0	section	Fruits and Vegetables	Language	English	Contexts	Describing
1EN10.01	219	2	chapter	Fruits	Language	English	Contexts	Describing
1EN10.02	221	2	chapter	A/An	Language	English	Grammar	Preposition
1EN10.03	223	2	chapter	Vegetables	Language	English	Contexts	Describing
1EN10.04	225	2	chapter	Assess yourself 9	Language	English	Contexts	Review
1EN11.00	227	0	section	Hobbies and Interests	Language	English	Contexts	Describing
1EN11.01	227	2	chapter	I Like Fruits	Language	English	Contexts	Preferences
1EN11.02	229	2	chapter	I Don't Like Leaves	Language	English	Contexts	Preferences
1EN11.03	231	2	chapter	Assess yourself 10	Language	English	Contexts	Review
1EN12.00	233	0	section	Birds and Animals	Language	English	Contexts	Describing
1EN12.01	233	2	chapter	The Tiger	Language	English	Contexts	Describing
1EN12.02	235	2	chapter	The Cock	Language	English	Contexts	Describing
1EN12.03	237	2	chapter	Birds in the Tree	Language	English	Contexts	Describing
1EN12.04	239	2	chapter	On/In/Under	Language	English	Contexts	Location
1EN12.05	241	2	chapter	Big and Small	Language	English	Contexts	Comparing
1EN12.06	243	2	chapter	My Pet	Language	English	Contexts	Possessions
1EN12.07	245	2	chapter	Assess yourself 11	Language	English	Contexts	Review
1EN12.08	247	2	chapter	Word list	Language	English	Grammar	Vocabulary
2EN00.02	9	4	chapter	Before you begin - I				
2EN00.03	13	4	chapter	Before you begin - II				
2EN01.00	17	1	section	Me and My Family				
2EN01.01	18	5	chapter	1 Birendra's Family	Language	English	Contexts	Describing
2EN01.02	23	4	chapter	2 I Love My Family	Language	English	Contexts	Narration
2EN01.03	27	4	chapter	3 Uncle Shiva's Family	Language	English	Contexts	Narration
2EN01.04	31	4	chapter	4 It's Me	Language	English	Contexts	Identity
2EN01.05	35	4	chapter	5 My Body	Language	English	Contexts	Describing
2EN01.06	39	4	chapter	6 I Take Care of My Body	Language	English	Contexts	Describing
2EN01.07	43	2	chapter	Assessment 1				
2EN02.00	45	1	section	My Daily Life				
2EN02.01	46	4	chapter	7 Before School	Language	English	Contexts	Describing
2EN02.02	50	4	chapter	8 At School	Language	English	Contexts	Describing
2EN02.03	54	4	chapter	9 After School	Language	English	Contexts	Describing
2EN02.04	58	4	chapter	10 On Saturdays	Language	English	Contexts	Preferences
2EN02.05	62	4	chapter	11 At the Zoo	Language	English	Contexts	Describing
2EN02.06	66	4	chapter	12 At a Fair	Language	English	Contexts	Describing
2EN02.07	70	2	chapter	Assessment 2				
2EN03.00	72	1	section	My School				
2EN03.01	73	4	chapter	13 Lunch Box Surprise	Language	English	Contexts	Narration
2EN03.02	77	4	chapter	14 Dentist at School	Language	English	Contexts	Describing
2EN03.03	81	4	chapter	15 Homework	Language	English	Contexts	Obligations
2EN03.04	85	4	chapter	16 Durbar High School	Language	English	Contexts	Describing
2EN03.05	89	4	chapter	17 Unit Test	Language	English	Contexts	Questions & Answers
2EN03.06	93	4	chapter	18 We Are at School	Language	English	Contexts	Describing
2EN03.07	97	2	chapter	Assessment 3				
2EN04.00	99	1	section	Our Environment				
2EN04.01	100	5	chapter	19 My House	Language	English	Contexts	Describing
2EN04.02	105	4	chapter	20 My Garden	Language	English	Contexts	Describing
2EN04.03	109	4	chapter	21 My Village	Language	English	Contexts	Describing
2EN04.04	113	3	chapter	22 Weather	Language	English	Contexts	Describing
2EN04.05	116	5	chapter	23 Keeping Clean	Language	English	Contexts	Activities
2EN04.06	121	4	chapter	24 Using Numbers	Language	English	Contexts	Quantities
2EN04.07	125	2	chapter	Assessment 4				
2EN05.00	127	1	section	My Belongings				
2EN05.01	128	4	chapter	25 Things I Have	Language	English	Contexts	Possessions
2EN05.02	132	4	chapter	26 Colours and Objects	Language	English	Contexts	Colors
2EN05.03	136	4	chapter	27 My Clothes	Language	English	Contexts	Possessions
2EN05.04	140	2	chapter	Assessment 5				
2EN06.00	142	1	section	Our Culture				
2EN06.01	143	4	chapter	28 Our Festivals	Language	English	Contexts	Activities
2EN06.02	147	4	chapter	29 Children's Day	Language	English	Contexts	Describing
2EN06.03	151	5	chapter	30 Months of the Year	Language	English	Contexts	Time & Date
2EN06.04	156	2	chapter	Assessment 6				
2EN07.00	158	1	section	Communication Technology and Market				
2EN07.01	159	4	chapter	31 Shopping	Language	English	Contexts	Preferences
2EN07.02	163	4	chapter	32 Talking on the Telephone	Language	English	Contexts	Conversation
