_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
4H01			5	9	chapter	Personal Hygiene	व्यक्तिगत स्वच्छता	Science	Medicine	Healthy living	Personal Hygiene
4H02			14	9	chapter	Environmental Sanitation	वातावरण सरसफाइ	Science	Earth	Human impact	Other Human Impact
4H03			23	10	chapter	Food and Nutrition	खाना र पोषण	Science	Medicine	Healthy living	Nutrition
4H04			33	11	chapter	"Disease, Smoking and Drinking"	रोग तथा पदार्थहरूको दुव्र्यसन	Science	Medicine	Disease and inquiry	Alcohol and Drugs
4H05			44	9	chapter	Safety and First Aid	हाम्रो सुरक्षा	Science	Medicine	Specialities	First Aid
4H06			53	10	chapter	Drills and Physical Exercise	कवाज र शारीरिक व्यायाम	Social Studies	Community	Sports	Drill
4H07			63	12	chapter	Athletics and Gymnastic	एथ्लेटिक्स र जिम्नास्टिक	Social Studies	Community	Sports	Exercise
4H08			75	11	chapter	"Minor, Local and Ball Games"	खेलहरू	Social Studies	Community	Sports	Exercise
4H09			86	5	chapter	Yoga	योग	Social Studies	Community	Sports	Yoga
4H10			91	13	chapter	Drawing and Colour	रेखाचित्र र रङ	Social Studies	Arts	Visual Art	Drawing
4H11			104	15	chapter	Printmaking and Clay works	"छपाइ, माटाको काम, कोलाज र निर्माण"	Social Studies	Arts	Visual Art	Pottery
4H12			119	12	chapter	Singing and Musical Instruments	गायन र वादन	Social Studies	Arts	Drama	Playacting
4H13			131	5	chapter	Dance and Acting	नृत्य र अभिनय	Social Studies	Arts	Drama	Acting
6H01			5	13	chapter	Human Body	मानव शरीर	Science	Medicine	Human Body	
6H02			18	13	chapter	Community Health and Mental Health	सामुदायिक स्वास्थ्य तथा मानसिक स्वास्थ्य	Social Studies	Community	Psychology	
6H03			31	11	chapter	Nutrition and Food Security	पोषण र खाद्य सुरक्षा	Science	Medicine	Healthy Living	Nutrition
6H04			42	16	chapter	"Disease, Safety and First Aid"	"रोग, सुरक्षा र प्राथमिक उपचार"	Science	Medicine	Specialties	First Aid
6H05			58	12	chapter	Sexual and Reproductive Health	यौनिक र प्रजनन स्वास्थ्य	Science	Medicine	Specialties	Family Planning
6H06			70	9	chapter	Physical Exercise and Drill	शारीरिक कसरत र कवाज	Social Studies	Community	Sports	Exercise
6H07			79	10	chapter	Athletics and Adventures Activities	एथलेटिक्स र साहसिक क्रियाकलाप	Science	Medicine	Everyday Life	Games
6H08			89	13	chapter	Games	खेलहरू	Social Studies	Community	Sports	
6H09			102	5	chapter	Yoga	योग	Social Studies	Community	Sports	Yoga
6H10			107	16	chapter	"Introduction to Arts, Line and Colour"	"कलाको परिचय, रेखाङ्‌कन र रङ"	Social Studies	Arts	Visual Art	Drawing
6H11			123	11	chapter	"Printmaking, Clay Works, Collage and Construction"	"छपाइ, माटाको काम, कोलाज र निर्माण"	Social Studies	Arts	Visual Art	Pottery
6H12			134	24	chapter	Singing and Playing Instrument	गायन र वादन	Social Studies	Arts	Music	
6H13			158	11	chapter	Dance and Acting	नृत्य र अभिनय	Social Studies	Arts	Dance	
7H01.00	5	1	5	15	section	Health Education	मानव शरीर				
7H01.01	5	13	20	16	chapter	The Human Body	सामुदायिक स्वास्थ्य तथा मानसिक स्वास्थ्य	Science	Medicine	Human Body	
7H01.02	18	4	36	10	chapter	Personal Health	पोषण र खाद्य सुरक्षा	Science	Medicine	Healthy Living	
7H01.03	22	8	46	17	chapter	Nutrition	"रोग, सुरक्षा र प्राथमिक उपचार"	Science	Medicine	Healthy Living	Nutrition
7H01.04	30	9	63	11	chapter	Diseases	यौनिक तथा प्रजनन् स्वास्थ्य	Science	Medicine	Disease & Injury	
7H01.05	39	5	74	8	chapter	"Adolescence, sex and reproductive health"	शारीरिक कसरत र कवाज	Science	Medicine	Specialties	Family Planning
