name,nepali,province,district,municipality,ward,lat,long,partner,color
Gaubesiko Chepang Protection Center,गाउँवेशीको चेपाङ संरण केन्द्र,बागमती,Chitwan,Ratnagar 11,Krishna Mandir,27.617333,84.511731,Menschen,pink
Karma Siddha Parampara Gumba School,कर्म सिद् परम्परा गुम्बा विद्यालय,ग०डकी,Kaski,Lekhnath submetropolitan -11,Matepani,28.215167,84.006472,Menschen,pink
Shree Dhansira Secondary School,श्री धनसिरा माध्यामिक विद्यालय,ग०डकी,Gorkha,Ajirkot-1,Ghyachchok,28.200528,84.705278,Menschen,pink
Shree Jal Kumari Secondary School,श्री जलकुमारी माध्यामिक विद्यालय,ग०डकी,Gorkha,Aarughat-3,Swanra gaun,28.118417,84.760083,Menschen,pink
Prabhat Kiran Secondary School,श्र प्रभात किरण माध्यामिक विद्यालय,ग०डकी,Gorkha,Dharche66,Lapubesi,28.179111,84.547528,Menschen,pink
Sahara A Children's Home,साहारा बाल गृह,बागमती,Kavrepalanchok,Dhulikhel-06,Dhulikhel,27.627528,85.547528,Menschen,pink
Shree Pansing Basic School,श्री पाङसिङ अधारभुत विद्यालय,ग०डकी,Gorkha,Chumnubri-3,Pansing,28.412662,84.88949,Menschen,pink
Shree Nubri Basic School,नुब्री अधारभुत विद्यालय,ग०डकी,Gorkha,Chumnubri-4,Ghap,28.532565,84.826424,Menschen,pink
Shree Shringi Basic School,श्रीङ्रगी अधारभुत विद्यालय,ग०डकी,Gorkha,Chumnubri-3,Jagat,"28,351,463","84,895,874",Menschen,pink
Shree Ichchha Basic School,इच्छा अधारभुत विद्यालय,ग०डकी,Gorkha,Dharche-1,Hulchuk,28.28868,84.91622,Menschen,pink
Shree Gandaki Secondary School,माध्यामिक विद्यालय,ग०डकी,Gorkha,Dharche-2,Runchet,28.109356,84.838816,Menschen,pink
