_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
7SSa01.00	5	1	6	1	section	Character Development	चारित्रिक विकास				
7SSa01.01	6	3	7	3	chapter	Devi Ram: A Path Finder	देवीरामले देखाएको बाटो	Social Studies	Community	Psychology	Behavior
7SSa01.02	9	6	10	6	chapter	The Essence of Religions	धर्मको साझा सार	Social Studies	Beliefs	Philosophy	Ideas
7SSa01.03	15	3	16	4	chapter	Let's Be United	सबै मिलौ	Social Studies	Community	Everyday Life	Tolerance
7SSa02.00	18	1	20	1	section	Human Values and Norms	मानवीय मूल्य मान्यता				
7SSa02.01	19	4	21	5	chapter	Helping Hands	सहयोगी भावना	Social Studies	Community	Social Organization	Mutual Help
7SSa02.02	23	5	26	6	chapter	Various Occupations	काम थरी थरीका	Social Studies	Community	Social Organization	
7SSa02.03	28	5	32	6	chapter	Honesty	इमानदारी	Social Studies	Community	Social Organization	
7SSa03.00	33	1	38	1	section	Civil Duties and Responsibilities	नागरिक कर्तव्य र दायित्व				
8SSa01.00	5	1	6	1	section	Character Development	चारित्रिक विकास				
8SSa01.01	6	5	7	5	chapter	Aaitaman: Pride of the Village	गाउँको सान आइतमान	Social Studies	Community	Psychology	Behavior
8SSa01.02	11	6	12	6	chapter	Let's be a Good Example	असल उदाहरण बनौँ	Social Studies	Community	Social Organization	
8SSa01.03	17	6	18	6	chapter	"Think positively, Learn and Do"	"राम्रो सोच, सिक र गर"	Social Studies	Community	Psychology	
8SSa02.00	23	1	24	1	section	Human Values	मानवीय मूल्य मान्यता				
8SSa02.01	24	5	25	5	chapter	True Soul Mates	मनका असल साथी	Social Studies	Community	Psychology	Behavior
8SSa02.02	29	6	30	6	chapter	My Real Identity	मेरो वास्तविक पहिचान	Social Studies	Community	Social Organization	Citizenship
8SSa02.03	35	6	36	6	chapter	Universal Relationship	सबैतिर आफन्त	Social Studies	Community	Social Organization	
8SSa03.00	41	1	42	1	section	The Civic Duties and Responsibility	नागरिक कर्तव्य र दायित्व				
8SSa03.01	42	5	43	5	chapter	The Duty of Citizens	नागरिक कर्तव्य	Social Studies	Community	Social Organization	Citizenship
8SSa03.02	47	5	48	5	chapter	My Duty	मैले गर्ने काम	Social Studies	Community	Social Organization	Mutual Help
8SSa03.03	52	5	53	5	chapter	Misrilal: A True Social Worker	समाज सेवी मिस्रीलाल	Social Studies	Community	Human Rights	
8SSa04.00	57	1	58	1	section	Community Life Style and Diversity	सामूहिक जीवन पद्‌धति र विविधता				
8SSa04.01	58	6	59	6	chapter	Peace and Friendship	शान्ति र मित्रता	Social Studies	Community	Psychology	Friendships
8SSa04.02	64	6	65	6	chapter	Ganga's Effort	मेरो वास्तविक पहिचान	Social Studies	Community	Psychology	Behavior
8SSa04.03	70	5	71	5	chapter	A Story of Five Brothers	पाँच भाइको कथा	Social Studies	Community	Social Organization	Mutual Help
8SSa05.00	75	1	76	1	section	Discipline and Positive Thinking	अनुशासन तथा सकारात्मक चिन्तन				
8SSa05.01	76	5	77	5	chapter	Regret	पश्चात्ताप	Social Studies	Community	Psychology	
8SSa05.02	81	6	82	6	chapter	Inner Eyes	भित्री आखाँ	Social Studies	Community	Psychology	
8SSa05.03	87	6	88	6	chapter	Excess of Anything is Destructive	अतिले खति	Social Studies	Community	Psychology	
