_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
1N01	8	14	chapter	Me and my family	म र मेरो परिवार	Language	Nepali	People	
1N02	22	12	chapter	My daily life	मेरो दैनिक जीवन	Language	Nepali	Contexts	Activities
1N03	34	12	chapter	Our community	हाम्रो समुदाय	Language	Nepali	People	
1N04	46	10	chapter	My school	मेरो विद्यालय	Language	Nepali	Textbooks	
1N05	56	16	chapter	Our environment	हाम्रो वातावरण	Language	Nepali	People	
1N06	72	18	chapter	Our creation	हाम्रो सिर्जना	Language	Nepali	Contexts	Ability
1N07	90	18	chapter	Interests and habits	रुचि र बानी	Language	Nepali	Contexts	Preferences
1N08	108	18	chapter	Our culture	हाम्रो संस्कृति	Language	Nepali	Contexts	Possessions
1N09	126	20	chapter	"Communications, technology and markets"	"सञ्‍चार, प्रविधि र बजार"	Language	Nepali	Textbooks	
1N10	146	14	chapter	Our Activity	हाम्रो क्रियाकलाप	Language	Nepali	Contexts	Activities
1N11	160	19	chapter	The world around us	हाम्रो वरपरको संसार	Language	Nepali	People	
2N01	7	18	chapter	Me and my family	म र मेरो परिवार	Language	Nepali	People	
2N02	25	18	chapter	My daily life	मेरो दैनिक जीवन	Language	Nepali	Contexts	Activities
2N03	43	22	chapter	Our community	हाम्रो समुदाय	Language	Nepali	People	
2N04	65	18	chapter	My school	मेरो विद्यालय	Language	Nepali	Textbooks	
2N05	83	20	chapter	Our environment	हाम्रो वातावरण	Language	Nepali	People	
2N06	103	14	chapter	Our creation	मेरो सिर्जना	Language	Nepali	Contexts	Ability
2N07	117	16	chapter	Interests and habits	रुचि र बानी	Language	Nepali	Contexts	Preferences
2N08	133	14	chapter	Our culture	हाम्रो संस्कृति	Language	Nepali	Contexts	Possessions
2N09	147	16	chapter	"Communications, technology and markets"	"सञ्‍चार, प्रविधि र बजार"	Language	Nepali	Textbooks	
2N10	163	14	chapter	Our Activity	हाम्रो क्रियाकलाप	Language	Nepali	Contexts	Activities
2N11	177	15	chapter	The world around us	हाम्रो वरपरको संसार	Language	Nepali	People	
3N01	7	16	chapter	Me and my family	म र मेरो परिवार	Language	Nepali	People	
3N02	23	20	chapter	My daily life	मेरो दैनिक जीवन	Language	Nepali	Contexts	Activities
3N03	43	16	chapter	Our community	हाम्रो समुदाय	Language	Nepali	People	
3N04	59	20	chapter	My school	मेरो विद्यालय	Language	Nepali	Textbooks	
3N05	79	26	chapter	Our environment	हाम्रो वातावरण	Language	Nepali	People	
3N06	105	16	chapter	Our creation	मेरो सिर्जना	Language	Nepali	Contexts	Ability
3N07	121	16	chapter	Interests and habits	रुचि र बानी	Language	Nepali	Contexts	Preferences
3N08	137	16	chapter	Our culture	हाम्रो संस्कृति	Language	Nepali	Contexts	Possessions
3N09	153	18	chapter	"Communications, technology and markets"	"सञ्‍चार, प्रविधि र बजार"	Language	Nepali	Textbooks	
3N10	171	18	chapter	Our Activity	हाम्रो क्रियाकलाप	Language	Nepali	Contexts	Activities
3N11	189	19	chapter	The world around us	हाम्रो वरपरको संसार	Language	Nepali	People	
4N01	5	7	chapter	All my teachers	;a} d]/f u'¿	Language	Nepali	Contexts	Other
4N02	12	12	chapter	Gold statue	";'gsf] d""lt{"	Language	Nepali	Contexts	Describing
4N03	24	11	chapter	I like books	dnfO{ k':ts dg k5{	Language	Nepali	Contexts	Describing
4N04	35	8	chapter	Letter to friend	;fyLnfO{ lr7L	Language	Nepali	Contexts	Greeting
4N05	43	10	chapter	The importance of sports	v]ns'bsf] dxOE	Language	Nepali	Contexts	Activities
4N06	53	11	chapter	The result of a lie	em'6sf] kl/0ffd	Language	Nepali	Contexts	Suggestions
4N07	64	12	chapter	Social worker Mahavir again	;dfh;]jL dxfjL/ k'g	Language	Nepali	Contexts	People
4N08	76	9	chapter	Kurilo farming	s'l/nf] v]tL	Language	Nepali	Contexts	Activities
4N09	85	11	chapter	The fruit of pride	3dG8sf] kmn	Language	Nepali	Contexts	Review
4N10	96	8	chapter	Small river	;fgL gbL	Language	Nepali	Contexts	Locations
4N11	104	11	chapter	Narayanhiti Durbar Museum	gf/fo0flx6L b/af/ ;ª\u|xfno	Language	Nepali	Contexts	Locations
4N12	115	10	chapter	Fair	lg;fkm	Language	Nepali	Contexts	Other
4N13	125	11	chapter	Ghale village	3n] ufp“	Language	Nepali	Contexts	Locations
4N14	135	7	chapter	Touch the star	"h""gtf/f 5'g"	Language	Nepali	Contexts	Other
4N15	142	14	chapter	Friend	;fyL	Language	Nepali	Contexts	People
4N16	156	11	chapter	Appendix	kl/lzi6				
5N01	5	3	chapter	Point of view	नैतिक द‍ृष्‍टान्त	Language	Nepali	Contexts	Preferences
5N02	8	8	chapter	Faith's fruit	कर्मको फल	Language	Nepali	Textbooks	
5N03	16	5	chapter	Glory of work	कामको महिमा	Language	Nepali	Contexts	Activities
5N04	21	4	chapter	Farmer's wishes	किसानको रहर	Language	Nepali	Contexts	Wants
5N05	25	10	chapter	The light of eyes	आखाँको ज्योति	Language	Nepali	Textbooks	
5N06	35	9	chapter	Time	समय	Language	Nepali	Contexts	Time & Date
5N07	44	7	chapter	Children's day	बाल दिवस	Language	Nepali	People	
5N08	51	6	chapter	Weird question	अनौठो प्रश्‍न	Language	Nepali	Contexts	Questions and Answers
5N09	57	6	chapter	Our journey	हाम्रो यात्रा	Language	Nepali	Contexts	Narration
5N10	63	4	chapter	Letter to a friend	साथीलाई चिठी	Language	Nepali	Contexts	Conversation
5N11	67	4	chapter	River	नदी	Language	Nepali	Textbooks	
5N12	71	5	chapter	Inspiration	प्रेरणा	Language	Nepali	People	
5N13	76	8	chapter	Medicine for anger	रिसको औषधी	Language	Nepali	People	
5N14	84	5	chapter	Things to learn	सिक्नुपर्ने कुरा	Language	Nepali	Contexts	Ability
5N15	89	4	chapter	Application for sick leave	बिरामी बिदाको निवेदन	Language	Nepali	Contexts	Identify
5N16	93	4	chapter	Country's mud	देशको माटो	Language	Nepali	Textbook	
5N17	97	10	chapter	The Greatest Devotee	सबैभन्दा ठुला भक्त	Language	Nepali	People	
5N18	107	6	chapter	Preparation for exam	परीक्षाको तयारी	Language	Nepali	Contexts	Questions & Answers
5N19	113	6	chapter	The life of a nurse	नर्सको जीवन	Language	Nepali	Contexts	Describing
5N20	119	5	chapter	National Pride	राष्‍ट्रिय गौरव	Language	Nepali	Contexts	Possessions
5N21	124	7	chapter	Regret	पश्‍चात्‍ताप	Language	Nepali	Contexts	Reasons
5N22	131	7	chapter	How are books made?	किताब कसरी बन्छ?	Language	Nepali	Textbooks	
6N01	5	8	chapter	Voice of the Motherland (poetry)	मातृभूमिको आवाज (कविता)	Language	Nepali	Song	
6N02	13	11	chapter	Kumar Yavakrit (story)	कुमार यवक्रीत (कथा)	Language	Nepali	Contexts	Narration
6N03	24	12	chapter	Nepali culture (essay)	नेपाली संस्कृति (निबन्ध)	Language	Nepali	Contexts	Possessions
6N04	36	10	chapter	Letter to son (Letter)	छोरालाई चिठी (चिठी)	Language	Nepali	Contexts	Conversation
