_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
4S01.00	6	1			section	Science					
4S01.01	6	3	5	17	chapter	Vertebrate and invertebrate animals	j}1flgs l;sfO	Science	Biology	Zoology	Vertebrates
4S01.02	9	6	22	26	chapter	Oviparous and Viviparous Animals	";""rgf tyf ;~rf/ k|ljlw"	Science	Biology	Zoology	Oviparous
4S01.03	15	4	48	14	chapter	Terrestrial Animals and their Characteristics	hLj / jftfj/0f	Science	Biology	Zoology	Terrestrial
4S01.04	19	2	62	23	chapter	Aquatic Animals and their Characteristics	;hLjx¿sf] juL{s/0f	Science	Biology	Zoology	Aquatic
4S01.05	21	3	85	10	chapter	Life process	hLjg k|lj|mof	Science	Biology	Other Biology	Life Processes
4S01.06	24	5	95	26	chapter	Stages of Development of Plants	kbfy{	Science	Biology	Other Biology	Life Processes
4S01.07	29	6	121	22	chapter	Terrestrial Plants and their Characteristics	zlSt	Science	Biology	Plants	Terrestrial
4S01.08	35	4	143	31	chapter	Aquatic Plants	k[YjL / cGtl/If	Science	Biology	Plants	Aquatic
4S01.09	39	7			chapter	Interrelationship between Living Things and the Environment		Science	Biology	Ecology	Biosphere
4S01.10	46	6			chapter	Natural Disaster		Science	Earth	Natural Disasters	
4S01.11	52	5			chapter	Matter		Science	Physics	Materials	Matter
4S01.12	57	6			chapter	Energy		Science	Physics	Forces	Work & Energy & Power
4S01.13	63	4			chapter	Weather		Science	Earth	Climate	Weather
4S01.14	67	7			chapter	Seasons		Science	Earth	Climate	Season
4S01.15	74	5			chapter	The Earth		Science	Earth	Other Earth	About
4S01.16	79	2			chapter	Solar System		Science	Astronomy	Solar System	
4S01.17	81	5			chapter	Means of Communication and their importance		Science	IT	Hardware	
4S01.18	86	4			chapter	Some of our local technologies		Science	Technology	Design	Water Mill
4S02.00	90	1			section	Health Education					
4S02.01	91	2			chapter	Our body		Science	Medicine	Healthy Living	Personal Hygiene
4S02.02	93	3			chapter	Cleaning body parts		Science	Medicine	Healthy Living	Personal Hygiene
4S02.03	96	3			chapter	Environment		Science	Earth	Human Impact	Waste & Recycling
4S02.04	99	3			chapter	Safe environment and health life		Science	Earth	Human Impact	Waste & Recycling
4S02.05	102	3			chapter	Our food		Science	Medicine	Healthy Living	Nutrition
4S02.06	105	2			chapter	Nutritious food		Science	Medicine	Healthy Living	Nutrition
4S02.07	107	2			chapter	Diseases		Science	Medicine	Disease & Injury	
4S02.08	109	5			chapter	Communicable diseases		Science	Medicine	Disease & Injury	Communicable
4S02.09	114	3			chapter	Non-communicable diseases		Science	Medicine	Disease & Injury	Other Disease
4S02.10	117	2			chapter	Safety against accident		Science	Medicine	Disease & Injury	Safety
4S02.11	119	3			chapter	First aid		Science	Medicine	Specialties	First Aid
4S02.12	122	5			chapter	Health service and facilities		Science	Medicine	Specialties	Public Health
4S02.13	127	3			chapter	"Smoking, alcohol and Drugs"		Science	Medicine	Disease & Injury	Smoking
4S03.00	130	1			section	Physical Education					
4S03.01	130	2			chapter	Locomotor Skills		Social Studies	Community	Sports	Exercise
4S03.02	132	3			chapter	Running		Social Studies	Community	Sports	Exercise
4S03.03	135	3			chapter	Different types of jumping		Social Studies	Community	Sports	Exercise
4S03.04	138	1			chapter	Throwing		Social Studies	Community	Sports	Exercise
4S03.05	139	3			chapter	Non-locomotor skills		Social Studies	Community	Sports	Exercise
4S03.06	142	4			chapter	Drill		Social Studies	Community	Sports	Drill
4S03.07	146	5			chapter	Physical training		Social Studies	Community	Sports	Exercise
4S03.08	151	1			chapter	Fun games		Social Studies	Community	Everyday Life	Games
4S03.09	152	1			chapter	Our games		Social Studies	Community	Everyday Life	Games
4S03.10	153	3			chapter	Story-based games		Social Studies	Community	Everyday Life	Games
4S03.11	156	2			chapter	Trapping and kicking the ball		Social Studies	Community	Sports	Soccer
4S03.12	158	1			chapter	Dribbling game		Social Studies	Community	Sports	Soccer
4S03.13	159	1			chapter	Turning upside down		Social Studies	Community	Sports	Gymnastics
4S03.14	160	2			chapter	Balancing		Social Studies	Community	Sports	Gymnastics
5S01.00	7	1	8	1	section	Science	विज्ञान				
5S01.01	7	7	10	8	chapter	Different Kinds of Animals	विभिन्न प्रकारका जनावर	Science	Biology	Animals	
5S01.02	14	3	18	3	chapter	Cell	कोष	Science	Biology	Cells	
5S01.03	17	3	21	3	chapter	Life cycle of a Butterfly	पुतलीको जीवनचक्र	Science	Biology	Insects	Butterflies
5S01.04	20	5	24	6	chapter	Monocot and dicot plants	एक दलीय र दुई दलीय बिरुवाहरू	Science	Biology	Plants	
5S01.05	25	5	30	6	chapter	General Life Processes of Animals and Plants	जनावर र बिरुवाहरूको सामान्य जीवन प्रक्रिया	Science	Biology	Animals	
5S01.06	30	7	36	7	chapter	Effects of Human Activities on Environment	मानवीय क्रियाकलापबाट वातावरणमा पर्ने प्रभाव	Science	Earth	Human Impact	Pollution
5S01.07	37	6	43	6	chapter	Environment Conservation	वातावरण संरक्षण	Science	Earth	Human Impact	Conservation
5S01.08	43	4	49	4	chapter	Change in State of Matter	पदार्थको अवस्था परिवर्तन	Science	Physics	Materials	Matter
5S01.09	47	7	53	7	chapter	Sources of Energy	शक्तिको स्रोत	Science	Technology	Energy Sources	
5S01.10	54	5	60	5	chapter	Weather	मौसम	Science	Earth	Climate	Weather
5S01.11	59	3	65	3	chapter	Cloud	बादल	Science	Earth	Climate	Cloud
5S01.12	62	8	68	8	chapter	Solar Family	सौर्य परिवार	Science	Astronomy	Solar System	
5S01.13	70	6	76	5	chapter	The Earth	पृथ्वी	Science	Earth		
5S01.14	76	5	81	5	chapter	Information and Communication	सूचना र सञ्चार	Science	IT	Information	
5S01.15	81	6	86	6	chapter	Some Local Technologies	सामान्य स्थानीय प्रविधिहरू	Science	Technology	Mechanical	
5S02.00	87	1	92	1	section	Health	स्वास्थ्य शिक्षा				
5S02.01	87	4	94	4	chapter	Individual Cleanliness	व्यक्तिगत सरसफाइ	Science	Medicine	Healthy Living	Personal Hygiene
5S02.02	91	3	98	3	chapter	"Physical Exercise, Rest and Sleep"	"व्यायाम, आराम र निद्रा"	Science	Medicine	Healthy Living	
5S02.03	94	5	101	4	chapter	Need of Environmental Cleanliness	वातावरणीय सरसफाइको आवश्यकता	Science	Medicine	Specialties	Public Health
5S02.04	99	3	105	3	chapter	Solid Wastes	ठोस फोहोरमैला	Science	Medicine	Specialties	Public Health
5S02.05	102	3	108	3	chapter	Balanced Diet	सन्तुलित भोजन	Science	Medicine	Healthy Living	Nutrition
5S02.06	105	4	111	4	chapter	Causes of Malnutrition and Preventative Measures	कुपोषणका कारण र बच्ने उपाय	Science	Medicine	Healthy Living	Nutrition
5S02.07	109	4	115	4	chapter	Communicable Diseases	सरुवा रोगहरू	Science	Medicine	Disease & Injury	
