_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
4SS01.00	2	1			section	"Me, My Family and My Neighborhood"					
4SS01.01	2	2	7	1	chapter	My Neighbors	PsfO—Ps M xfdL / xfd|f] ;d'bfo	Social Studies	Community	Social Organization	Neighborhood
4SS01.02	4	2	8	3	chapter	Occupational Tools	5d]sL;Fusf] ;DaGw	Social Studies	Economy	Occupations	Farming
4SS01.03	6	2	11	3	chapter	Use and Care of Occupational Tools	l5d]sdf ;/;xof]u	Social Studies	Economy	Other Economy	Maintenance & Repair
4SS01.04	8	2	14	2	chapter	Mutual Help with Neighbors	l5d]sL;Fusf] Jojxf/	Social Studies	Community	Social Organization	Mutual Help
4SS02.00	10	1			section	Our Traditions and Social Values					
4SS02.01	10	2	16	4	chapter	Our Seniors	xfd|f l5d]sLsf] sfd / k];f	Social Studies	Community	Social Organization	Family
4SS02.02	12	2	20	7	chapter	Our Languages and Costumes	k];f / Jofj;fodf k|of]u x'g] ;fdu|Lx¿	Social Studies	Community	Everyday Life	Diversity
4SS02.03	14	2	27	1	chapter	Our Rituals and Festivals	"PsfO—b'O{ M xfd|f d""No dfGotf"	Social Studies	Community	Everyday Life	Celebrations
4SS02.04	16	2	28	2	chapter	Importance of Birthplace	dfGohgsf] ;Ddfg / k|]/0ff	Social Studies	Community	Social Organization	Citizenship
4SS02.05	18	2	30	3	chapter	How Good is my Place!	IfdfzLn agf}F	Social Studies	Community	Social Organization	Citizenship
4SS02.06	20	2	33	3	chapter	Ideal People in our District	c;n afgL Jojxf/	Social Studies	Community	Social Organization	Leaders
4SS03.00	22	1			section	Social Problems and Solutions					
4SS03.01	22	2	36	4	chapter	Let Us Help	xfd|f efiff / /xg;xg	Social Studies	Community	Social Organization	Mutual Help
4SS03.02	24	2	40	3	chapter	Let Us Avoid Bad Habits	rf8kj{df ;xeflutf / ;xof]	Social Studies	Community	Social Organization	Solutions
4SS03.03	26	2	43	3	chapter	Social Evils	d]/f] hGd:yfg	Social Studies	Community	Social Organization	Problems
4SS03.04	28	2	46	6	chapter	Settlement of Quarrel	"xfd|f /fli6«o lje""ltx¿"	Social Studies	Community	Social Organization	Solutions
4SS03.05	30	2	52	1	chapter	Ways to Eliminate Social Evils	PsfO—tLg M gful/s r]tgf	Social Studies	Community	Social Organization	Solutions
4SS03.06	32	2	52	3	chapter	Service-providing Institutions	xfd|f] ;'/Iff	Social Studies	Community	Social Organization	Other Social Organization
4SS03.07	34	2	56	2	chapter	Role of Social Institutions	xfd|f] clwsf/ / st{Jo	Social Studies	Community	Social Organization	Other Social Organization
4SS04.00	36	1			section	Civic Awareness					
4SS04.01	36	2	58	2	chapter	Our Rights	afn ;xeflutf	Social Studies	Community	Social Organization	Citizenship
4SS04.02	38	2	60	3	chapter	Participation by Children	xfd|f k|fs[lts ;Dkb	Social Studies	Community	Social Organization	Mutual Help
