_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
8V01.00	11	0	section	Vocational education	पेसागत शिक्षा	Social Studies	Community	Education	Vocations
8V01.01	11	4	chapter	Medium and high level profession	मध्यम र उच्च स्तरीय पेसा	Social Studies	Community	Education	Vocations
8V01.02	15	1	chapter	Profession and manpower related to engineering sector	इन्जिनियरिङ क्षेत्रसंग सम्बन्धित पेसा र जनशक्ति	Social Studies	Economy	Agriculture	
8V01.03	16	2	chapter	Occupations and manpower related to the agricultural sector	कृषि क्षेत्रसंग सम्बन्धित पेसा र जनशक्ति	Social Studies	Economy	Occupations	Farming
8V01.04	18	2	chapter	Profession and manpower related to finance sector	वित्त क्षेत्रसंग सम्बन्धित पेसा र जनशक्ति	Social Studies	Economy	Occupations	Finance
8V01.05	20	1	chapter	Occupations and manpower related to the tourism sector	पर्यटन क्षेत्रसंग सम्बन्धित पेसा र जनशक्ति	Social Studies	Economy	Tourism	
8V01.06	21	2	chapter	Professions and manpower related to the teaching sector	शिक्षण क्षेत्रसंग सम्बन्धित पेसा र जनशक्ति	Social Studies	Economy	Occupations	Service
8V01.07	23	2	chapter	Profession and manpower based on public service	सार्वजनिक सेवामा आधारित पेसा र जनशक्ति	Social Studies	Economy	Occupations	Service
8V01.08	25	1	chapter	The relationship between profession and education	पेसा र शिक्षाको सम्बन्ध	Social Studies	Community	Education	Other Education
8V02.00	26	0	section	"Education, training and employment"	"शिक्षा, तालिम र रोजगारी"	Social Studies	Community	Education	Other Education
8V02.01	26	4	chapter	Institutions providing medium and high level general education	मध्यम तथा उच्च स्तरीय साधारण शिक्षा प्रदायक संस्था	Social Studies	Community	Social Organization	Schools
8V02.02	30	2	chapter	Institutions providing medium and high level technical education	मध्यम तथा उच्च स्तरीय प्राविधिक शिक्षा प्रदायक संस्था	Social Studies	Community	Social Organization	Schools
8V02.03	32	2	chapter	Occupation field and selection process	पेसाको क्षेत्र र छनोट प्रक्रिया	Social Studies	Economy	Occupations	Other Occupations
8V03.00	34	0	section	Employment information	रोजगारी सम्बन्धी सूचना	Social Studies	Economy	Occupations	Service
8V03.01	34	2	chapter	Source of information on international and foreign employment	अन्तर्राष्‍ट्रिय तथा वैदेशिक रोजगारी सम्बन्धी सूचना प्राप्तिको स्रोत	Social Studies	Economy	Business	Economics
8V03.02	36	2	chapter	How to get information on foreign employment	वैदेशिक रोजगारीको सूचना प्राप्त गर्ने तरिका	Social Studies	Economy	Business	Economics
8V03.03	38	2	chapter	Basic information regarding foreign employment	वैदेशिक रोजगारी सम्बन्धी आधारभूत जानकारी	Social Studies	Economy	Business	Economics
8V03.04	40	2	chapter	International employment	अन्तर्राष्‍ट्रिय रोजगारी	Social Studies	Economy	Business	Economics
8V03.05	42	1	chapter	Foreign employment opportunities and challenges	वैदेशिक रोजगारीका अवसर र चुनौती	Social Studies	Economy	Occupations	Service
8V04.00	43	0	section	Life skills	जीवनोपयोगी सिपहरू	Social Studies	Community	Education	Other Education
8V04.01	43	2	chapter	Decision sip	निर्णय सिप	Social Studies	Community	Education	Other Education
8V04.02	45	1	chapter	Problem solving skills	समस्या समाधान गर्ने सिप	Social Studies	Community	Education	Other Education
8V04.03	46	1	chapter	Analysis SIP	विश्लेषण सिप	Social Studies	Community	Education	Other Education
8V05.00	47	0	section	Business operation	व्यवसाय सञ्‍चालन	Social Studies	Economy	Business	Economics
8V05.11	47	2	chapter	Selection process	छनोट प्रक्रिया	Social Studies	Economy	Business	Other Business
8V05.12	49	1	chapter	Entrepreneurial education	उद्यमशील शिक्षा	Social Studies	Economy	Business	Studies
8V05.13	50	2	chapter	The framework of business operation plan	व्यवसाय सञ्‍चालन योजनाको ढाँचा	Social Studies	Economy	Business	Studies
8V05.21	52	2	chapter	Locally operated industries	स्थानीय स्तरमा सञ्‍चालित उद्योग	Social Studies	Economy	Business	Companies
